gene	rewiring
ENSMUSG00000026822	0.5311523430731726
ENSMUSG00000026574	0.4995296829589383
ENSMUSG00002076451	0.4988042469012438
ENSMUSG00002075453	0.4922341073426558
ENSMUSG00000020108	0.4916632103832683
ENSMUSG00000048572	0.49136923840498636
ENSMUSG00000097421	0.4864284697519907
ENSMUSG00000068744	0.48385205942415066
ENSMUSG00000065226	0.48338844677955817
ENSMUSG00002074875	0.4818591200003951
ENSMUSG00000060093	0.48058953882135647
ENSMUSG00000102070	0.4769046342608618
ENSMUSG00000013611	0.47562501557015746
ENSMUSG00000073418	0.4716384729759905
ENSMUSG00000099519	0.4714912565364632
ENSMUSG00000038264	0.4713640894563701
ENSMUSG00000026814	0.47041581263261356
ENSMUSG00000004951	0.4698874029157666
ENSMUSG00000048546	0.46948657571362473
ENSMUSG00000022878	0.4682504614145331
ENSMUSG00000026930	0.4673918668050119
ENSMUSG00000103711	0.4652575040793754
ENSMUSG00000023046	0.4648847242089591
ENSMUSG00000002910	0.4631660489394558
ENSMUSG00000020181	0.46265191082207846
ENSMUSG00000047844	0.46051157835242995
ENSMUSG00000040808	0.4605044426128164
ENSMUSG00000038415	0.4603602311086845
ENSMUSG00000011305	0.45935800067503807
ENSMUSG00000068263	0.4593228339373574
ENSMUSG00000093701	0.4590240956350512
ENSMUSG00000020889	0.4584689597647611
ENSMUSG00000119776	0.4581781867851249
ENSMUSG00000121785	0.4540689098493609
ENSMUSG00000118839	0.45318767751414835
ENSMUSG00000067736	0.45236768175985165
ENSMUSG00000028001	0.4521601402724612
ENSMUSG00000118936	0.4519596208423682
ENSMUSG00000019874	0.45112231339441755
ENSMUSG00000051149	0.44929926407271037
ENSMUSG00000088185	0.44858252087354833
ENSMUSG00000035202	0.4474045265339125
ENSMUSG00000074578	0.44650111350517296
ENSMUSG00000118698	0.44607638829609086
ENSMUSG00000010064	0.445072483712573
ENSMUSG00000079362	0.44433345976165595
ENSMUSG00000021390	0.44338238833425303
ENSMUSG00000028681	0.44224195813282297
ENSMUSG00000025479	0.4411801376065162
ENSMUSG00000039196	0.4399925306828726
ENSMUSG00002074955	0.43872172316395486
ENSMUSG00000023067	0.4386044862462588
ENSMUSG00000022033	0.43764684315642854
ENSMUSG00000022010	0.4372566315619796
ENSMUSG00000038146	0.43699015723925594
ENSMUSG00000016942	0.43673586845248336
ENSMUSG00000030268	0.43658685776301764
ENSMUSG00000031549	0.436452620250935
ENSMUSG00000119662	0.43475082551600275
ENSMUSG00000002831	0.43431884297553236
ENSMUSG00000070469	0.4318156811690479
ENSMUSG00000031167	0.43135209849426515
ENSMUSG00000038526	0.4311749085404325
ENSMUSG00000080538	0.43048893738030636
ENSMUSG00000064367	0.42748918258881086
ENSMUSG00000027533	0.42671093429783946
ENSMUSG00000043144	0.42541935465899705
ENSMUSG00000027699	0.4250000548925481
ENSMUSG00000019464	0.4248312215705048
ENSMUSG00000050621	0.42223081390755757
ENSMUSG00000105985	0.42212113793230976
ENSMUSG00000119206	0.42188681741518463
ENSMUSG00000032946	0.42167630586092275
ENSMUSG00000092341	0.4203620163485918
ENSMUSG00000015134	0.42029213322419734
ENSMUSG00000095595	0.42007882969992205
ENSMUSG00000110558	0.4197657893014567
ENSMUSG00000064945	0.41496722992797574
ENSMUSG00000074634	0.4147094110238202
ENSMUSG00000030854	0.41402642379678634
ENSMUSG00000037725	0.41347736132276325
ENSMUSG00000121505	0.41309982497240383
ENSMUSG00000021670	0.4127738281748049
ENSMUSG00000021025	0.412203606126632
ENSMUSG00000024164	0.41127855814094616
ENSMUSG00000001270	0.4112093471857804
ENSMUSG00000020609	0.4108090245314854
ENSMUSG00000085894	0.4092864022551925
ENSMUSG00000026837	0.4080985114250356
ENSMUSG00000090101	0.4078151372154356
ENSMUSG00000031994	0.40734336346589295
ENSMUSG00000022218	0.40451270080077517
ENSMUSG00000070661	0.403354647268083
ENSMUSG00000040998	0.4031511833287954
ENSMUSG00000119476	0.4012921400120386
ENSMUSG00000001025	0.40009915132199125
ENSMUSG00000001930	0.39978776318229237
ENSMUSG00000043705	0.39929776119208504
ENSMUSG00000015568	0.3989011158401222
ENSMUSG00000024552	0.39877039833554184
ENSMUSG00000094932	0.39855901010864314
ENSMUSG00000028909	0.39810828210459515
ENSMUSG00000037053	0.3980641069842271
ENSMUSG00000073988	0.3979192081628624
ENSMUSG00000037016	0.3975324856942827
ENSMUSG00000028655	0.39751603282609504
ENSMUSG00000032575	0.39746178578899327
ENSMUSG00000101249	0.39693480331495
ENSMUSG00000021702	0.3966571873440422
ENSMUSG00000104030	0.3958929793913267
ENSMUSG00000118841	0.395725974895916
ENSMUSG00000059049	0.3950953564048494
ENSMUSG00000032532	0.39467222106745026
ENSMUSG00000005413	0.3946552074278421
ENSMUSG00000074527	0.3941754980360186
ENSMUSG00000038775	0.39317124374173407
ENSMUSG00000043122	0.3931539509600961
ENSMUSG00000056973	0.3929564046974209
