contrast	n_genes	n_seeds	mean_rewiring	median_rank_std	top_gene	top_rewiring
ISS_T_YNG_FLT_minus_GC	2500	10	0.2324458551550531	222.36623400499064	ENSMUSG00000038146	0.46792906086952
ISS_T_OLD_FLT_minus_GC	2500	10	0.23644378887849699	220.74705619233353	ENSMUSG00000031734	0.4773989366052758
LAR_YNG_FLT_minus_GC	2500	10	0.2185673433984537	220.62660497485388	ENSMUSG00000015568	0.4587645239438437
LAR_OLD_FLT_minus_GC	2500	10	0.224303440005408	218.10556979204335	ENSMUSG00000032060	0.45777908385644517
