gene	symbol	rewiring_mean	rewiring_std	logFC	FDR	q_BH
ENSMUSG00000022504	ENSMUSG00000022504	0.4644334224107356	0.0430460178193839			0.9999999999999954
ENSMUSG00000046743	ENSMUSG00000046743	0.4451954927787088	0.045675510474716			0.0373272744067661
ENSMUSG00000065701	ENSMUSG00000065701	0.4393511635463332	0.043163290477785			5.180372284154649e-05
ENSMUSG00000102401	ENSMUSG00000102401	0.4260044288121732	0.0468229962198014			0.9999999999999954
ENSMUSG00000017778	ENSMUSG00000017778	0.425327286426751	0.0521304682209399			0.1729903709083458
ENSMUSG00000070661	ENSMUSG00000070661	0.4158125471983154	0.0418241955046884			0.4978554934368377
ENSMUSG00000032175	ENSMUSG00000032175	0.4102311885737045	0.031573794086576			0.0007228923739931
ENSMUSG00000102813	ENSMUSG00000102813	0.4003079865312884	0.0416081540417989			0.9999999999999954
ENSMUSG00000028982	ENSMUSG00000028982	0.3993900946645424	0.0465057741747825			0.9999999999999954
ENSMUSG00000054146	ENSMUSG00000054146	0.3976206560904737	0.048545938050303			0.976061534286724
ENSMUSG00000064945	ENSMUSG00000064945	0.3975156891039859	0.0361464032986534			0.0385382535045741
ENSMUSG00000114247	ENSMUSG00000114247	0.3968504933315652	0.040856220461225			1.4852542181723495e-06
ENSMUSG00000026185	ENSMUSG00000026185	0.3939760768088893	0.0312568300579735			0.2508486034535678
ENSMUSG00000074653	ENSMUSG00000074653	0.3915646869014405	0.0422199919546912			0.0736803358976034
ENSMUSG00000112366	ENSMUSG00000112366	0.3908617928157301	0.0383020532451416			0.9999999999999954
ENSMUSG00000047501	ENSMUSG00000047501	0.3898452836278778	0.0453647703823032			0.9999999999999954
ENSMUSG00000063171	ENSMUSG00000063171	0.3890863897922848	0.0322634229711211			0.9999999999999954
ENSMUSG00000028527	ENSMUSG00000028527	0.3881622756014267	0.0388090182943835			0.2909466819107287
ENSMUSG00000023885	ENSMUSG00000023885	0.3876741619024853	0.0320760015537479			0.0184692305188299
ENSMUSG00000057137	ENSMUSG00000057137	0.3868667678653584	0.0371008741773129			0.4091814468412343
ENSMUSG00000023073	ENSMUSG00000023073	0.3833103967267722	0.0494372695863783			0.7958293619344008
ENSMUSG00000106918	ENSMUSG00000106918	0.3817059435659262	0.0483904642148906			0.0865641235366578
ENSMUSG00000023067	ENSMUSG00000023067	0.3810301664875576	0.0387011500788251			0.0653056388955879
ENSMUSG00000086859	ENSMUSG00000086859	0.381021600910176	0.0684132859095497			0.9999999999999954
ENSMUSG00000104737	ENSMUSG00000104737	0.3792930384694209	0.0325985604774755			0.7366452962787171
ENSMUSG00000067288	ENSMUSG00000067288	0.3786635450812312	0.0431929651681841			0.9999999999999954
ENSMUSG00000041841	ENSMUSG00000041841	0.3785462442182389	0.0341988455440343			0.734382463862291
ENSMUSG00000061742	ENSMUSG00000061742	0.3767546061275421	0.028778354779385			0.914911222494766
ENSMUSG00000022510	ENSMUSG00000022510	0.3752419814727381	0.0451448310394689			0.9999999999999954
ENSMUSG00000019894	ENSMUSG00000019894	0.3748910517748198	0.0397508435540367			0.0
ENSMUSG00000032758	ENSMUSG00000032758	0.3732243843704717	0.0274884134869907			0.0419011527197089
ENSMUSG00000027133	ENSMUSG00000027133	0.373098594918269	0.0305040912287649			0.3794980989438282
ENSMUSG00000121655	ENSMUSG00000121655	0.3718053128227768	0.0746571695224512			0.2488321671561877
ENSMUSG00000043496	ENSMUSG00000043496	0.370605910873677	0.0296224187829232			3.202566417187952e-13
ENSMUSG00000021270	ENSMUSG00000021270	0.3692881724913562	0.0459777805001094			0.0475020730603498
ENSMUSG00000004151	ENSMUSG00000004151	0.3686562006325037	0.0338701046713513			0.9999999999999954
ENSMUSG00000028970	ENSMUSG00000028970	0.3685785142007449	0.0399755881990307			6.868343160215673e-05
ENSMUSG00000028150	ENSMUSG00000028150	0.3685449388651837	0.0204115703953454			7.910796063340694e-05
ENSMUSG00000101514	ENSMUSG00000101514	0.3673035475913274	0.0242707679027073			0.0097864627004077
ENSMUSG00000121129	ENSMUSG00000121129	0.3672623165208541	0.0362576793529309			0.9999999999999954
ENSMUSG00000007655	ENSMUSG00000007655	0.366996967920802	0.048925193912475			0.0146255811471321
ENSMUSG00000068587	ENSMUSG00000068587	0.3669488719126176	0.0343655970955938			2.5671131886895182e-09
ENSMUSG00000050359	ENSMUSG00000050359	0.3668639295238826	0.0585749221280792			0.0945223163022121
ENSMUSG00000031278	ENSMUSG00000031278	0.3668383984414414	0.0504001433010246			0.1956527083064014
ENSMUSG00000026930	ENSMUSG00000026930	0.3668274917901915	0.0615619489060787			0.9999999999999954
ENSMUSG00000043681	ENSMUSG00000043681	0.3652113991558497	0.0384390265651465			0.0976195140048905
ENSMUSG00000121042	ENSMUSG00000121042	0.3650735970304072	0.0316841758620137			0.9999999999999954
ENSMUSG00000029417	ENSMUSG00000029417	0.3646126685031011	0.0394250064960327			0.5242185086572907
ENSMUSG00000104503	ENSMUSG00000104503	0.3645212680853848	0.0392478172026212			0.1121454752786178
ENSMUSG00000097730	ENSMUSG00000097730	0.3644177181539518	0.0477438896611263			0.0392368621243465
ENSMUSG00000103085	ENSMUSG00000103085	0.3637474870073859	0.052051805878579			1.0937441428739346e-08
ENSMUSG00000035699	ENSMUSG00000035699	0.3637463075236461	0.0362551777347517			0.9999999999999954
ENSMUSG00000085396	ENSMUSG00000085396	0.363446683655041	0.0344500920377478			0.4792426450323971
ENSMUSG00000078247	ENSMUSG00000078247	0.3627898774130997	0.0508672813663748			0.3429211487607511
ENSMUSG00000094306	ENSMUSG00000094306	0.3621712590684388	0.0361897436375654			0.0002170611605441
ENSMUSG00000067870	ENSMUSG00000067870	0.3621477176687658	0.0460296257893763			0.7141957250257845
ENSMUSG00000020654	ENSMUSG00000020654	0.3621074350557921	0.0434119058944201			4.103639346404256e-06
ENSMUSG00000017307	ENSMUSG00000017307	0.361719171376442	0.0445949199781719			0.9999999999999954
ENSMUSG00000065778	ENSMUSG00000065778	0.360895579764128	0.0485045554704535			1.7271453050817685e-07
ENSMUSG00000037152	ENSMUSG00000037152	0.3604266745000037	0.048549564687645			0.396114277342373
ENSMUSG00000065686	ENSMUSG00000065686	0.3598537883348042	0.0617384049532202			0.1690913580365667
ENSMUSG00000039878	ENSMUSG00000039878	0.359591511632814	0.0357979402315455			0.0932957214934544
ENSMUSG00000034282	ENSMUSG00000034282	0.3593872024764992	0.0281016759777075			0.9207791334088036
ENSMUSG00000030004	ENSMUSG00000030004	0.3579701234820636	0.0416126853088442			0.0020475224000083
ENSMUSG00000090862	ENSMUSG00000090862	0.3579292589930598	0.0419354696777139			0.7980985377711043
ENSMUSG00000010651	ENSMUSG00000010651	0.3577644043014906	0.0440467168046055			0.0775078169624642
ENSMUSG00000058600	ENSMUSG00000058600	0.3575190415686785	0.0248000734945149			0.0179454105291953
ENSMUSG00000094932	ENSMUSG00000094932	0.3570556058890161	0.0300838219362753			0.0
ENSMUSG00000026207	ENSMUSG00000026207	0.3568559242290819	0.0523182124852921			0.0003872654879476
ENSMUSG00000120777	ENSMUSG00000120777	0.3561177668355375	0.0376755417435201			5.87498459467207e-10
ENSMUSG00000024064	ENSMUSG00000024064	0.354391295822293	0.0490673139909601			0.3762969642029721
ENSMUSG00000042487	ENSMUSG00000042487	0.3539811158068319	0.0360052613946983			0.9999999999999954
ENSMUSG00000065353	ENSMUSG00000065353	0.3536413752868601	0.029119855707529			0.3429211487607511
ENSMUSG00000032128	ENSMUSG00000032128	0.3534364423999907	0.0378704648092943			0.2996469465635459
ENSMUSG00000097536	ENSMUSG00000097536	0.353113926746162	0.0391112607313786			0.0005812927849035
ENSMUSG00000064360	ENSMUSG00000064360	0.3525475488239949	0.053834331277073			0.1208419087937204
ENSMUSG00000028463	ENSMUSG00000028463	0.3516024684972919	0.0389523249307856			0.3794980989438282
ENSMUSG00000026395	ENSMUSG00000026395	0.3508670244843813	0.0280831771419751			0.9999999999999954
ENSMUSG00000029641	ENSMUSG00000029641	0.350860169635063	0.0200929978709971			0.020056626751686
ENSMUSG00000089281	ENSMUSG00000089281	0.3507810502090142	0.0445480991060118			0.0115021485335192
ENSMUSG00000046794	ENSMUSG00000046794	0.3505243034787694	0.0422926348073906			0.9999999999999954
ENSMUSG00000027204	ENSMUSG00000027204	0.3500044047750804	0.0331606058640504			0.0003825777408694
ENSMUSG00000023004	ENSMUSG00000023004	0.3499800800598652	0.0379545880645732			0.9637961101011918
ENSMUSG00000017724	ENSMUSG00000017724	0.3495574274529404	0.0443799308752172			0.9999999999999954
ENSMUSG00000032010	ENSMUSG00000032010	0.3484727469509227	0.0436634519507194			0.7854059922647366
