contrast	total_candidates	high_rewiring	low_DE	supported
ISS_T_YNG_FLT_minus_GC	250	250	250	0.0
ISS_T_OLD_FLT_minus_GC	250	250	250	0.0
LAR_OLD_FLT_minus_GC	250	250	250	0.0
LAR_YNG_FLT_minus_GC	250	250	250	0.0
