effect	n_genes	n_significant_q05	n_significant_q01	n_significant_q001	median_p_stouffer	min_p_stouffer
flight_effect	2500	177	133	88	0.99289117480127	0.0
age_flight_interaction	2500	48	36	23	0.9942604131346784	0.0
