gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000034771	85	-0.1675796661525953	-0.2692316516349974	0.9978761923506688	1.0	ENSMUSG00000034771
ENSMUSG00000054675	100	0.1806962311267846	0.2276489502415957	0.9978903633314684	1.0	ENSMUSG00000054675
ENSMUSG00000059401	84	0.1343219636939473	0.1716881645715404	0.99789694779353	1.0	ENSMUSG00000059401
ENSMUSG00000117901	103	0.1181404620409018	0.1688093384952585	0.9979017310835424	1.0	ENSMUSG00000117901
ENSMUSG00000015981	138	-0.05170277999714	-0.0876923169390995	0.9979190191939984	1.0	ENSMUSG00000015981
ENSMUSG00000024222	81	0.1342362403869613	0.1781063348718056	0.9979410007719552	1.0	ENSMUSG00000024222
ENSMUSG00000027404	92	0.2375236302614201	0.2749650468358445	0.9979743212021058	1.0	ENSMUSG00000027404
ENSMUSG00000066621	90	0.0244651168584816	0.0395354985156541	0.997998418466816	1.0	ENSMUSG00000066621
ENSMUSG00000002763	96	0.083683796226979	0.1027941438180463	0.9980002190822692	1.0	ENSMUSG00000002763
ENSMUSG00000026639	80	0.0897373981773848	0.1255302848813197	0.9980269873266	1.0	ENSMUSG00000026639
ENSMUSG00000016200	80	-0.0110205074772257	-0.0158382804636512	0.99803919966171	1.0	ENSMUSG00000016200
ENSMUSG00000104235	101	-0.1334711164236062	-0.1621628594069397	0.998050020636407	1.0	ENSMUSG00000104235
ENSMUSG00000021207	165	-0.0770061681978422	-0.1298805393771213	0.998060320216472	1.0	ENSMUSG00000021207
ENSMUSG00000087365	99	0.0876931872917347	0.121679251739402	0.9980683729491578	1.0	ENSMUSG00000087365
ENSMUSG00000070985	80	0.0498650660738343	0.0814489548333701	0.998094639406518	1.0	ENSMUSG00000070985
ENSMUSG00000048142	83	0.1709078773856155	0.2354304126910843	0.998108197576396	1.0	ENSMUSG00000048142
ENSMUSG00000037563	110	0.1442646319977933	0.2236546771062611	0.99813926140598	1.0	ENSMUSG00000037563
ENSMUSG00000018427	139	-0.051011385023594	-0.0952470484260125	0.9981477852503045	1.0	ENSMUSG00000018427
ENSMUSG00000087259	144	0.0272335216403006	0.0504568875842081	0.9981615628461536	1.0	ENSMUSG00000087259
ENSMUSG00000037411	162	0.0789282992482189	0.0975015510697847	0.9981665435724856	1.0	ENSMUSG00000037411
ENSMUSG00000020897	87	-0.1842822702601526	-0.3699563306803822	0.9981675947293448	1.0	ENSMUSG00000020897
ENSMUSG00000064254	86	0.0255401242524381	0.0369503476333322	0.998176612955762	1.0	ENSMUSG00000064254
