gene	symbol	rewiring_mean	rewiring_std	rank_std
ENSMUSG00000002289	Angptl4	0.4882143784669472	0.057401516870615	17.752746266423117
ENSMUSG00000021702	Thbs4	0.4824407921174242	0.0640416356439765	31.16985723419342
ENSMUSG00000059901	Adamts14	0.4807270438658887	0.0648778778896334	26.09770104817664
ENSMUSG00000032080	Apoa4	0.4786162647338954	0.0474156723738253	17.281492991058382
ENSMUSG00000032978	Guca2b	0.4738988203662085	0.0661636783691259	29.38979414694836
ENSMUSG00000121785	Ubb-ps	0.4719112592226013	0.0592516201160047	25.87759648808212
ENSMUSG00000028214	Gem	0.4713654479245328	0.0544939415326684	27.579158797903897
ENSMUSG00000121034	ENSMUSG00000121034	0.4672047055288075	0.0404978896075943	24.20516473812976
ENSMUSG00000064354	mt-Co2	0.4645115690532132	0.0271100797304683	11.725612990372827
ENSMUSG00000001930	Vwf	0.4608044262641709	0.0421118325772301	39.740281830908046
ENSMUSG00000059201	Lep	0.4592580740815586	0.0392646247185602	28.547504269200136
ENSMUSG00000074715	Ccl28	0.4569169715486397	0.0727035126284584	67.45072275372593
ENSMUSG00000015134	Aldh1a3	0.4539383391219509	0.0333622266870274	19.38452991434149
ENSMUSG00000069267	H3c2	0.4534732118598373	0.0328118884551263	17.239779580957524
ENSMUSG00000055116	Bmal1	0.4520800474619951	0.0657918197326147	61.874065649511024
ENSMUSG00000058620	Adra2b	0.4499928337729637	0.0602652560296171	40.640497044204565
ENSMUSG00000040808	S100g	0.4498235941900718	0.057890824238645	59.01660783203317
ENSMUSG00000028970	Abcb1b	0.4472983396374245	0.0496156855326753	44.44997187850629
ENSMUSG00000048546	Tob2	0.4449309331957191	0.0523636825983585	35.9521904756859
ENSMUSG00000065226	Gm25791	0.4411835362741903	0.0492262453733112	38.79484501837841
ENSMUSG00002076451	ENSMUSG00002076451	0.4396011399927654	0.03343085060068	29.9893314363625
ENSMUSG00000058258	Idi1	0.4383657365132046	0.0499594724830987	37.81388633822236
ENSMUSG00000005413	Hmox1	0.4373032761591771	0.0475797907981734	49.386739110818
ENSMUSG00000022033	Pbk	0.4353155197909824	0.0593257264164026	71.43535539213059
ENSMUSG00000076609	Igkc	0.4289018448543736	0.0580139447268941	65.55920987931444
ENSMUSG00000030087	Klf15	0.4270136975969903	0.0497094391281191	46.379844760412894
ENSMUSG00000067149	Jchain	0.4268007971027014	0.0215218574327375	27.675982367388517
ENSMUSG00000116993	ENSMUSG00000116993	0.4254561239302442	0.0454532821061275	40.390716755214925
ENSMUSG00000097421	ENSMUSG00000097421	0.4248253657028306	0.0576073260690049	68.03594638130639
ENSMUSG00000060093	H4c1	0.4239888545860045	0.0359041769553198	37.441287371029325
ENSMUSG00000027360	Hdc	0.4221676047277064	0.0400678723352363	45.39614521079956
ENSMUSG00000073988	Ttpa	0.4216872223879265	0.0347663208497399	28.05993585167293
ENSMUSG00000079494	Nat8f5	0.4205252980707576	0.06355335239967	73.7496440669377
ENSMUSG00000022010	Tsc22d1	0.4203405059650861	0.0652791900667537	68.80552303412858
ENSMUSG00000080440	Gm25848	0.4200130094678713	0.051805213152334	76.51855984008063
ENSMUSG00000064367	mt-Nd5	0.4193527377297667	0.0497056370597686	41.69844121786808
ENSMUSG00000038146	Notch3	0.4176019060028758	0.034546498884313	34.19956140069635
ENSMUSG00000073418	C4b	0.4173438387172943	0.0442801229005385	56.94769530016118
ENSMUSG00000118841	Rn7s2	0.4170520503779412	0.0663637087433114	109.1102195030328
ENSMUSG00000048572	Tmem252	0.4168517268633535	0.029394443943694	39.13259510944808
ENSMUSG00000032946	Rasgrp2	0.4168349623584727	0.0595212644359505	52.12446642412755
ENSMUSG00000038224	Serpinf2	0.4138391419852137	0.0429692441716079	38.90758280849634
ENSMUSG00000021670	Hmgcr	0.4111302470435176	0.0404902749396633	50.565304310366805
ENSMUSG00000043144	Aqp6	0.4108815514872111	0.0420401117606493	50.24977611890425
ENSMUSG00000005268	Prlr	0.4105221612409591	0.0496402221758995	91.6338365452413
ENSMUSG00000068744	Psrc1	0.4097892800980163	0.0461269302019391	94.77705418507162
ENSMUSG00000103711	Tstd1	0.4088791221822013	0.0568015422238628	60.13227087014093
ENSMUSG00000046794	Ppp1r3b	0.4079185655469251	0.0471454455209954	81.86946927884655
ENSMUSG00000023036	Pcdhgc4	0.4078184140794054	0.033173697812253	45.5912272262987
ENSMUSG00000026837	Col5a1	0.4074125845583813	0.0510148370509535	51.78455368157575
