contrast	rewiring_mean_mean	rewiring_mean_std	rewiring_mean_max	rewiring_std_mean	rewiring_std_max	n_genes
ISS_T_OLD_FLT_minus_GC	0.237	0.0844	0.4878	0.025	0.073	2500
ISS_T_YNG_FLT_minus_GC	0.2329	0.0836	0.4859	0.0245	0.069	2500
LAR_OLD_FLT_minus_GC	0.2237	0.0812	0.4702	0.0246	0.0626	2500
LAR_YNG_FLT_minus_GC	0.2165	0.0788	0.4429	0.024	0.0755	2500
