contrast	rewiring_mean_mean	rewiring_mean_std	rewiring_mean_max	rewiring_std_mean	rewiring_std_max	n_genes
ISS_T_OLD_FLT_minus_GC	0.2418	0.0872	0.4845	0.0256	0.0753	2500
ISS_T_YNG_FLT_minus_GC	0.2402	0.0874	0.4853	0.0255	0.0727	2500
LAR_OLD_FLT_minus_GC	0.2243	0.0846	0.4858	0.0246	0.0815	2500
LAR_YNG_FLT_minus_GC	0.2194	0.0823	0.5007	0.0244	0.0822	2500
