rank	gene	degree
785	ENSMUSG00000065226	85
786	ENSMUSG00000025650	85
787	ENSMUSG00000064363	85
788	ENSMUSG00000030987	85
789	ENSMUSG00000033763	85
790	ENSMUSG00000030283	85
791	ENSMUSG00000059336	85
792	ENSMUSG00000073988	85
793	ENSMUSG00000048040	85
794	ENSMUSG00000069310	85
795	ENSMUSG00000121777	85
796	ENSMUSG00000025934	85
797	ENSMUSG00000087881	85
798	ENSMUSG00000064853	85
799	ENSMUSG00000045672	85
800	ENSMUSG00000063590	85
801	ENSMUSG00000021214	85
802	ENSMUSG00000058258	85
803	ENSMUSG00000037016	85
804	ENSMUSG00000024644	85
805	ENSMUSG00000054986	85
806	ENSMUSG00000038745	85
807	ENSMUSG00000086782	85
808	ENSMUSG00000101939	85
809	ENSMUSG00000007097	85
810	ENSMUSG00000108825	85
811	ENSMUSG00000073940	85
812	ENSMUSG00000080538	85
813	ENSMUSG00000029414	85
814	ENSMUSG00000056293	85
815	ENSMUSG00000054385	85
816	ENSMUSG00000029231	85
817	ENSMUSG00000062785	85
818	ENSMUSG00000048154	85
819	ENSMUSG00000068742	85
820	ENSMUSG00000020620	85
821	ENSMUSG00000002265	84
822	ENSMUSG00000107304	84
823	ENSMUSG00000090101	84
824	ENSMUSG00000089281	84
825	ENSMUSG00000028680	84
826	ENSMUSG00000074445	84
827	ENSMUSG00000027070	84
828	ENSMUSG00000105970	84
829	ENSMUSG00000080465	84
830	ENSMUSG00000031765	84
831	ENSMUSG00000041577	84
832	ENSMUSG00000065649	84
833	ENSMUSG00000066170	84
834	ENSMUSG00000028976	84
835	ENSMUSG00000024503	84
836	ENSMUSG00000006313	84
837	ENSMUSG00000078920	84
838	ENSMUSG00000029482	84
839	ENSMUSG00000036892	84
840	ENSMUSG00000029478	84
841	ENSMUSG00000031431	84
842	ENSMUSG00000048546	84
843	ENSMUSG00000023272	84
844	ENSMUSG00000064344	84
845	ENSMUSG00000047793	84
846	ENSMUSG00000097324	84
847	ENSMUSG00000104713	84
848	ENSMUSG00000033209	84
849	ENSMUSG00000031994	84
850	ENSMUSG00000047907	84
851	ENSMUSG00000022218	84
852	ENSMUSG00000079056	84
853	ENSMUSG00000116305	84
854	ENSMUSG00000053877	84
855	ENSMUSG00000032946	84
856	ENSMUSG00000061825	84
857	ENSMUSG00000013611	84
858	ENSMUSG00000040860	84
859	ENSMUSG00000064370	84
860	ENSMUSG00000029163	84
861	ENSMUSG00000064351	84
862	ENSMUSG00000044338	84
863	ENSMUSG00000033705	84
864	ENSMUSG00000036777	84
865	ENSMUSG00000030972	84
866	ENSMUSG00000058620	84
867	ENSMUSG00000057103	84
868	ENSMUSG00000119227	84
