effect	n_genes	n_significant_q05	n_significant_q01	n_significant_q001	median_p_stouffer	min_p_stouffer
flight_effect	2500	180	146	102	0.9715300444010484	0.0
age_flight_interaction	2500	69	52	33	0.9784790418289111	0.0
