gene	rewiring_abs_obs	p_perm	q_BH
ENSMUSG00000002250	66.58400995284319	0.004975124378109453	0.8379156847342235
ENSMUSG00000065701	58.30213971436024	0.004975124378109453	0.8379156847342235
ENSMUSG00000075705	21.639972928911448	0.004975124378109453	0.8379156847342235
ENSMUSG00000022878	45.954918690025806	0.004975124378109453	0.8379156847342235
ENSMUSG00000064427	29.667993035167456	0.009950248756218905	0.8379156847342235
ENSMUSG00000074578	39.21335826534778	0.009950248756218905	0.8379156847342235
ENSMUSG00000034892	40.91319032013416	0.009950248756218905	0.8379156847342235
ENSMUSG00000001095	25.03735443018377	0.009950248756218905	0.8379156847342235
ENSMUSG00000096768	103.25022538006306	0.009950248756218905	0.8379156847342235
ENSMUSG00000039109	59.512043472379446	0.009950248756218905	0.8379156847342235
ENSMUSG00000077391	68.5094146206975	0.009950248756218905	0.8379156847342235
ENSMUSG00000069305	60.94178096950054	0.014925373134328358	0.8379156847342235
ENSMUSG00000031167	42.99471890926361	0.014925373134328358	0.8379156847342235
ENSMUSG00000085826	27.69726212322712	0.014925373134328358	0.8379156847342235
ENSMUSG00000095079	103.09228152036667	0.014925373134328358	0.8379156847342235
ENSMUSG00000058248	31.55413366202265	0.014925373134328358	0.8379156847342235
ENSMUSG00000037686	24.19080889597535	0.014925373134328358	0.8379156847342235
ENSMUSG00000043496	75.49906257912517	0.014925373134328358	0.8379156847342235
ENSMUSG00000061482	58.67879556585103	0.01990049751243781	0.8379156847342235
ENSMUSG00000042737	56.02692440897226	0.01990049751243781	0.8379156847342235
ENSMUSG00000038489	42.769431572407484	0.01990049751243781	0.8379156847342235
ENSMUSG00002076696	38.00182697921991	0.01990049751243781	0.8379156847342235
ENSMUSG00000007892	53.70239306986332	0.01990049751243781	0.8379156847342235
ENSMUSG00000121782	57.400592505931854	0.01990049751243781	0.8379156847342235
ENSMUSG00000058258	32.17206406220794	0.01990049751243781	0.8379156847342235
ENSMUSG00000022425	26.868103116750717	0.01990049751243781	0.8379156847342235
ENSMUSG00000062997	26.928038083016872	0.01990049751243781	0.8379156847342235
ENSMUSG00000047246	58.22359647601843	0.024875621890547265	0.8379156847342235
ENSMUSG00000002831	54.17020486295223	0.024875621890547265	0.8379156847342235
ENSMUSG00000113902	25.909758158028126	0.024875621890547265	0.8379156847342235
ENSMUSG00000114860	29.022594764828682	0.024875621890547265	0.8379156847342235
ENSMUSG00000042371	28.506572388112545	0.024875621890547265	0.8379156847342235
ENSMUSG00000030278	45.53093799203634	0.024875621890547265	0.8379156847342235
ENSMUSG00000058927	77.51631918177009	0.029850746268656716	0.8379156847342235
ENSMUSG00000026156	24.155635077506304	0.029850746268656716	0.8379156847342235
ENSMUSG00000121042	41.13639200478792	0.029850746268656716	0.8379156847342235
ENSMUSG00000010064	33.92670360766351	0.029850746268656716	0.8379156847342235
ENSMUSG00000061780	45.34521734714508	0.029850746268656716	0.8379156847342235
ENSMUSG00000025508	53.96599457412958	0.029850746268656716	0.8379156847342235
ENSMUSG00000039196	48.88131598383188	0.029850746268656716	0.8379156847342235
ENSMUSG00000048373	80.44773137569427	0.029850746268656716	0.8379156847342235
ENSMUSG00000067149	93.56849955022335	0.03482587064676617	0.8379156847342235
ENSMUSG00000119476	53.50027516297996	0.03482587064676617	0.8379156847342235
ENSMUSG00000116207	73.30806786753237	0.03482587064676617	0.8379156847342235
ENSMUSG00000069310	55.34337692707777	0.03482587064676617	0.8379156847342235
ENSMUSG00002076161	39.05201688781381	0.03482587064676617	0.8379156847342235
ENSMUSG00000069266	58.458646293729544	0.03482587064676617	0.8379156847342235
ENSMUSG00000030546	43.75578525289893	0.03482587064676617	0.8379156847342235
ENSMUSG00000005611	49.60532293468714	0.03980099502487562	0.8379156847342235
ENSMUSG00000001119	54.71799770370126	0.03980099502487562	0.8379156847342235
ENSMUSG00000100755	23.1789362821728	0.03980099502487562	0.8379156847342235
ENSMUSG00000107928	62.964808873832226	0.03980099502487562	0.8379156847342235
ENSMUSG00000109628	24.94476472400129	0.03980099502487562	0.8379156847342235
ENSMUSG00000080465	34.11920019239187	0.03980099502487562	0.8379156847342235
ENSMUSG00000012705	42.383043214678764	0.03980099502487562	0.8379156847342235
ENSMUSG00000075279	38.310805052518845	0.03980099502487562	0.8379156847342235
ENSMUSG00000046318	57.140766493976116	0.03980099502487562	0.8379156847342235
ENSMUSG00000018830	70.00044414587319	0.04477611940298507	0.8408660920748371
ENSMUSG00000039542	52.628787169698626	0.04477611940298507	0.8408660920748371
ENSMUSG00000095123	36.80778431147337	0.04477611940298507	0.8408660920748371
ENSMUSG00000091405	56.60765775665641	0.04477611940298507	0.8408660920748371
ENSMUSG00002076601	39.85538815706968	0.04477611940298507	0.8408660920748371
ENSMUSG00000037254	37.49791604280472	0.04477611940298507	0.8408660920748371
ENSMUSG00000020163	48.687100142240524	0.04975124378109453	0.8408660920748371
ENSMUSG00000030711	25.06370270997286	0.04975124378109453	0.8408660920748371
ENSMUSG00000064994	29.93499894067645	0.04975124378109453	0.8408660920748371
ENSMUSG00000064966	32.49546214938164	0.04975124378109453	0.8408660920748371
ENSMUSG00000037411	55.47094090655446	0.04975124378109453	0.8408660920748371
ENSMUSG00000121784	63.726056307554245	0.04975124378109453	0.8408660920748371
ENSMUSG00000068855	54.486317720264196	0.04975124378109453	0.8408660920748371
ENSMUSG00000042379	42.88558818772435	0.04975124378109453	0.8408660920748371
ENSMUSG00000060093	58.0621268004179	0.05472636815920398	0.8528784648187633
ENSMUSG00000115420	57.65237629413605	0.05472636815920398	0.8528784648187633
ENSMUSG00000064387	44.97314831614494	0.05472636815920398	0.8528784648187633
ENSMUSG00000058571	71.83564867079258	0.05472636815920398	0.8528784648187633
ENSMUSG00000090877	32.130970135331154	0.05472636815920398	0.8528784648187633
ENSMUSG00000020681	16.37936084717512	0.05970149253731343	0.8528784648187633
ENSMUSG00000026473	31.968131184577942	0.05970149253731343	0.8528784648187633
ENSMUSG00000121655	44.05630704481155	0.05970149253731343	0.8528784648187633
ENSMUSG00000100210	62.600863456726074	0.05970149253731343	0.8528784648187633
ENSMUSG00000064563	31.098459977656603	0.05970149253731343	0.8528784648187633
ENSMUSG00000088835	34.64078512787819	0.05970149253731343	0.8528784648187633
ENSMUSG00000024087	41.99166775494814	0.05970149253731343	0.8528784648187633
ENSMUSG00002076809	65.5752569064498	0.05970149253731343	0.8528784648187633
ENSMUSG00000106107	40.93953052908182	0.06467661691542288	0.8528784648187633
ENSMUSG00000057036	50.903209020383656	0.06467661691542288	0.8528784648187633
ENSMUSG00000065353	47.3045976087451	0.06467661691542288	0.8528784648187633
ENSMUSG00000069300	55.94214880466461	0.06467661691542288	0.8528784648187633
ENSMUSG00000022218	34.8588986042887	0.06467661691542288	0.8528784648187633
