effect	n_genes	n_significant_q05	n_significant_q01	n_significant_q001	median_p_stouffer	min_p_stouffer
flight_effect	2500	246	172	122	0.9164015478199741	0.0
age_flight_interaction	2500	68	49	30	0.9883428843554107	0.0
