gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000071532	292	-0.1160411084652872	-0.1363718809633022	0.9999998608407435	1.0	ENSMUSG00000071532
ENSMUSG00000065822	87	0.0642900854349105	0.0751216852149272	0.9999998649820996	1.0	ENSMUSG00000065822
ENSMUSG00000052562	104	-0.0228994913864829	-0.017639511313593	0.9999998652389548	1.0	ENSMUSG00000052562
ENSMUSG00000087365	99	0.123116998374461	0.1302306334363377	0.9999998724737424	1.0	ENSMUSG00000087365
ENSMUSG00000021281	97	0.0138456210494033	0.0104096394337156	0.99999987695862	1.0	ENSMUSG00000021281
ENSMUSG00000065952	90	-0.1752646714448918	-0.1848800541703258	0.9999998837856272	1.0	ENSMUSG00000065952
ENSMUSG00000027204	136	-0.1319810228887952	-0.1551387444467162	0.9999998848151004	1.0	ENSMUSG00000027204
ENSMUSG00000024818	88	-0.0209569384111074	-0.0257341280468242	0.9999998866697684	1.0	ENSMUSG00000024818
ENSMUSG00000106634	106	-0.0225915381219241	-0.0236717211237247	0.9999998873605344	1.0	ENSMUSG00000106634
ENSMUSG00000026202	83	0.0226322382688523	0.0237128426182384	0.999999888302906	1.0	ENSMUSG00000026202
ENSMUSG00000006641	87	-0.1644333064556128	-0.1678230383071857	0.999999889083344	1.0	ENSMUSG00000006641
ENSMUSG00000051747	113	0.0138579942286009	0.0191102938769687	0.99999988974034	1.0	ENSMUSG00000051747
ENSMUSG00000042099	83	-0.043856245279313	-0.0532458798005777	0.9999998922364152	1.0	ENSMUSG00000042099
ENSMUSG00000042115	85	0.0634114734828474	0.1182268854513633	0.9999998938468122	1.0	ENSMUSG00000042115
ENSMUSG00000028862	80	-0.1299086891580358	-0.1306532368257761	0.9999998945698584	1.0	ENSMUSG00000028862
ENSMUSG00000027230	90	-0.0554053954780098	-0.0786562282620443	0.9999998969559708	1.0	ENSMUSG00000027230
ENSMUSG00000118669	128	-0.0207864049123599	-0.036902213895228	0.9999999014511924	1.0	ENSMUSG00000118669
ENSMUSG00000064345	94	-0.0853356953710316	-0.092538889791815	0.999999902535978	1.0	ENSMUSG00000064345
ENSMUSG00000000253	87	-0.0020912854932255	-0.0019318057005565	0.9999999044731896	1.0	ENSMUSG00000000253
ENSMUSG00000001774	81	0.0133073159609921	0.0176515370563189	0.9999999056002168	1.0	ENSMUSG00000001774
ENSMUSG00000035828	91	-0.1014898229390379	-0.1113444309225837	0.9999999085537292	1.0	ENSMUSG00000035828
ENSMUSG00000088008	84	0.1932961083948616	0.2657073341695798	0.9999999103110936	1.0	ENSMUSG00000088008
