contrast	n_genes	n_significant_q05	n_significant_q01	median_pvalue
ISS_T_OLD_FLT_minus_GC	1200	0	0	0.405189620758483
ISS_T_YNG_FLT_minus_GC	1200	0	0	0.3832335329341317
LAR_OLD_FLT_minus_GC	1200	0	0	0.4780439121756487
LAR_YNG_FLT_minus_GC	1200	0	0	0.5329341317365269
