gene	symbol	rewiring_mean	rewiring_std	rank_std
ENSMUSG00000032060	ENSMUSG00000032060	0.4515553813427308	0.0514559123297735	38.34853321836443
ENSMUSG00000109314	ENSMUSG00000109314	0.4349300947542168	0.0209694870228505	12.848735346328835
ENSMUSG00000040952	ENSMUSG00000040952	0.4328486212601048	0.0498338542449824	53.898886815963095
ENSMUSG00000038146	ENSMUSG00000038146	0.4316959221956485	0.0347431208021528	30.87005021051958
ENSMUSG00000047822	ENSMUSG00000047822	0.4300596505283131	0.0540560041753494	48.66055897747168
ENSMUSG00000079042	ENSMUSG00000079042	0.4300377868652522	0.0584750012004115	62.133404864050384
ENSMUSG00000091898	ENSMUSG00000091898	0.4253370024414413	0.0423964659045943	44.84908025812793
ENSMUSG00000032515	ENSMUSG00000032515	0.4236621422581381	0.0408725157025859	40.05308976845607
ENSMUSG00000036834	ENSMUSG00000036834	0.4231350472376493	0.0482035508034303	116.0906973017218
ENSMUSG00000099519	ENSMUSG00000099519	0.4219645524291673	0.0439140256308666	41.74398160214236
ENSMUSG00000084786	ENSMUSG00000084786	0.4200246141906683	0.0491073051534144	118.37182941899648
ENSMUSG00000069274	ENSMUSG00000069274	0.4189515649166736	0.0579522801648025	203.52945732743456
ENSMUSG00000033618	ENSMUSG00000033618	0.4184089249548578	0.0429350217497636	78.57486875585603
ENSMUSG00000007038	ENSMUSG00000007038	0.4182671001265605	0.0245359448574653	22.715853494861246
ENSMUSG00000044349	ENSMUSG00000044349	0.4181329883449917	0.0357912105608381	39.91190298645255
ENSMUSG00000062825	ENSMUSG00000062825	0.4174612769989344	0.0354910907073347	50.44799302251776
ENSMUSG00000022894	ENSMUSG00000022894	0.415218722403805	0.0430051550235275	51.93495932413927
ENSMUSG00000026725	ENSMUSG00000026725	0.4122681988438432	0.0367222774969468	77.53070359541438
ENSMUSG00000111264	ENSMUSG00000111264	0.4121160723882179	0.0401572827994343	91.83006043774554
ENSMUSG00000054385	ENSMUSG00000054385	0.4119882327580271	0.0429222542844112	55.09954627762375
ENSMUSG00000038305	ENSMUSG00000038305	0.4104049959623025	0.0447888635838277	93.8735852090459
ENSMUSG00000015405	ENSMUSG00000015405	0.4080331241332006	0.0406274359096698	85.54232870339689
ENSMUSG00000036892	ENSMUSG00000036892	0.4056012154036145	0.0447098890531478	100.62922040838832
ENSMUSG00000016942	ENSMUSG00000016942	0.4033278113237291	0.0396776447085077	57.59027695713922
ENSMUSG00000037254	ENSMUSG00000037254	0.4026683264775021	0.0301000291352736	66.82514496804328
ENSMUSG00000033715	ENSMUSG00000033715	0.4014823964184087	0.0515034315867839	110.11017210049216
ENSMUSG00000006542	ENSMUSG00000006542	0.4007945746843623	0.0348912097243972	63.1778442177319
ENSMUSG00000064451	ENSMUSG00000064451	0.4002840349750105	0.0330763147501752	74.80247322114423
ENSMUSG00000059824	ENSMUSG00000059824	0.3981534346150875	0.0337623278734564	84.1004756229119
ENSMUSG00000054428	ENSMUSG00000054428	0.3961395728568533	0.0299005843933272	68.82070909253987
ENSMUSG00000104094	ENSMUSG00000104094	0.3951883870873157	0.0348412459926207	128.21875837801582
ENSMUSG00000030064	ENSMUSG00000030064	0.3950125273376371	0.0365784744826202	83.41516648667675
ENSMUSG00000090021	ENSMUSG00000090021	0.3946328372191837	0.0412214875862743	148.83430384155395
ENSMUSG00000048997	ENSMUSG00000048997	0.394242974946522	0.0418651065154564	124.36675600818732
ENSMUSG00000057836	ENSMUSG00000057836	0.3938537130761728	0.0414443112566355	139.9391296242763
ENSMUSG00000033327	ENSMUSG00000033327	0.3930238035367713	0.0254506546955812	56.40177302177654
ENSMUSG00000039058	ENSMUSG00000039058	0.3920066861574328	0.0550927445889878	160.01549924929148
ENSMUSG00000026064	ENSMUSG00000026064	0.3917157763400374	0.0517930809878428	131.84873909143005
ENSMUSG00000023034	ENSMUSG00000023034	0.3894909659093227	0.0302767791037802	97.6012807293019
ENSMUSG00000029482	ENSMUSG00000029482	0.3891336217294107	0.037819343921004	110.4319247319361
ENSMUSG00000062908	ENSMUSG00000062908	0.386670546816289	0.040946904343395	156.23984767017663
ENSMUSG00000022366	ENSMUSG00000022366	0.386341928574635	0.0476329373358066	165.29258906557186
ENSMUSG00000033676	ENSMUSG00000033676	0.3862463297801632	0.0392119688608831	133.08377061084497
ENSMUSG00000028655	ENSMUSG00000028655	0.3862006497146893	0.0357232031150127	115.41667990372969
ENSMUSG00000036040	ENSMUSG00000036040	0.3852587893670872	0.0304360667352139	85.16102394875251
ENSMUSG00000115624	ENSMUSG00000115624	0.3847375935583583	0.0526035209344299	200.2070178590151
ENSMUSG00000033852	ENSMUSG00000033852	0.3833241300736069	0.0321827377202199	79.5354637881744
ENSMUSG00000032064	ENSMUSG00000032064	0.3826466819034791	0.0579622297331635	166.28637947829642
ENSMUSG00000032786	ENSMUSG00000032786	0.3822775312691535	0.0403911622382998	126.40446985767552
ENSMUSG00000024757	ENSMUSG00000024757	0.3821469646854445	0.0378994028414068	131.0181666792815
