gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000000359	Rem1	102	0.1056547574698931	0.2293248164631769	0.0001428932362834	0.0032353185573615
ENSMUSG00000032198	Dock6	82	-0.3188306182622917	-0.5336304666223655	0.000166291324829	0.0036953627739786
ENSMUSG00000026837	Col5a1	80	-0.5085656668990866	-0.9601132167928396	0.0001834326454658	0.0040021668101635
ENSMUSG00000071532	Gm10335	208	0.2539780396968123	0.4228147245317507	0.0002315452359984	0.004961683628538
ENSMUSG00000057722	Lepr	100	0.0389553733170036	0.0758249353720553	0.0002520367088773	0.0052264160067737
ENSMUSG00000065016	Snora3	95	-0.3131638929247888	-0.5307113916254084	0.000252610106994	0.0052264160067737
ENSMUSG00000019232	Etnppl	116	-0.0653110072016705	-0.1265219235392778	0.0002794607451658	0.0056839473593049
ENSMUSG00000037625	Cldn11	101	-0.0167134761810291	-0.0311796993365624	0.0003206466372368	0.006412932744737
ENSMUSG00000038453	Srcin1	91	-0.0676769733428955	-0.1297701711803478	0.000329026896279	0.0064726602546689
ENSMUSG00000050621	Rps27rt	102	0.3618981450796136	0.5959537988083909	0.0003385782918803	0.0065150891056213
ENSMUSG00000026435	Slc45a3	138	0.1648646809160719	0.3200671369341068	0.0003420421780451	0.0065150891056213
ENSMUSG00000099241	Gvin-ps2	185	-0.1166069418191891	-0.1245844758936294	0.000398838095563	0.0074782142918075
ENSMUSG00000034771	Tle2	88	-0.2977889291942121	-0.585663653083552	0.0004205346402397	0.0077637164351948
ENSMUSG00000062785	Kcnc3	85	-0.3418886899948131	-0.6250203704941878	0.0004879084037537	0.0088685486063545
ENSMUSG00000032350	Gclc	113	0.2499539256095894	0.3955574212391904	0.0004951606305214	0.0088685486063545
ENSMUSG00000102602	ENSMUSG00000102602	80	-0.4537558065872873	-0.6677199610209658	0.000503497350792	0.0088852473669181
ENSMUSG00000037679	Inf2	80	-0.2625786643475301	-0.5038705002031287	0.0007286437481986	0.0126720651860643
ENSMUSG00000005373	Mlxipl	92	-0.1179212957620627	-0.2034761421442031	0.0009143229637236	0.0156741079495478
ENSMUSG00000051669	AU021092	81	-0.231865584850313	-0.3984393594070437	0.0009396783410707	0.0158818874547174
ENSMUSG00000025270	Alas2	88	-0.0527231000363824	-0.117364633776315	0.0009836173878322	0.0163936231305376
ENSMUSG00000006576	Slc4a3	82	-0.3260896001011149	-0.6665080383019113	0.0012768958858628	0.0209900693566501
ENSMUSG00000120777	ENSMUSG00000120777	301	-0.2499965853989129	-0.4205625841245461	0.0013155065288811	0.0213325383061804
ENSMUSG00000023905	Tnfrsf12a	98	0.1411197052337234	0.3738357305009624	0.0016400407931423	0.0262406526902783
ENSMUSG00000034855	Cxcl10	128	-0.1597054343670605	-0.2372865730116506	0.0016949420080698	0.0267622422326819
