gene	rewiring_mean	rewiring_std	rank_std	high_rewiring	logFC	FDR	low_DE	q_BH	supported
ENSMUSG00000119776	0.5027602790228393	0.053553118219339	11.20758671614902	True			True		
ENSMUSG00000116993	0.4984404331001729	0.0461746050928806	10.59669759878048	True			True		
ENSMUSG00000002289	0.4833772757054594	0.0503033239936804	55.370027993491206	True			True		
ENSMUSG00000031994	0.4791077619725247	0.0608522215708176	31.864714026647093	True			True		
ENSMUSG00000038775	0.4707959443114977	0.0370383470513404	28.921272447802156	True			True		
ENSMUSG00000060093	0.4622289456189024	0.0452387112463961	24.2156973882645	True			True		
ENSMUSG00000073418	0.4613063343953344	0.0311574248003257	14.665946952038247	True			True		
ENSMUSG00000118837	0.4611666982937186	0.0596018795474964	72.92900657488761	True			True		
ENSMUSG00000043144	0.4610127918228476	0.0309461484247535	19.074590428106184	True			True		
ENSMUSG00000121505	0.4598823578143675	0.0608368626195086	59.66950645011235	True			True		
ENSMUSG00000064354	0.4512156957344868	0.0442599462870818	48.41332461213545	True			True		
ENSMUSG00000068744	0.4500141244300314	0.0452895939713915	36.84616669342959	True			True		
ENSMUSG00000000628	0.4469028831680182	0.0296316518568596	30.01399673485689	True			True		
ENSMUSG00000097421	0.4465266350256474	0.0411493812822975	31.212978070027216	True			True		
ENSMUSG00000055116	0.4449051411358639	0.0595233346042367	60.511486512892745	True			True		
ENSMUSG00000030278	0.4439764154655872	0.0592453327791895	78.80634492222057	True			True		
ENSMUSG00000042985	0.4425749393969857	0.0383316357884701	30.04147133547223	True			True		
ENSMUSG00000038264	0.4416564962913905	0.0599540115195039	69.45185382694979	True			True		
ENSMUSG00000073988	0.4387276751888672	0.0407553263510517	50.21911986484829	True			True		
ENSMUSG00000027699	0.4385301393430549	0.0490092557527536	66.5093226547978	True			True		
ENSMUSG00000022010	0.4355747455628043	0.0552165635300623	100.4122004539289	True			True		
ENSMUSG00000026837	0.4351156163203814	0.043743523633193	50.55185456538662	True			True		
ENSMUSG00000031775	0.4337385469888423	0.0406497891424272	50.24101909794425	True			True		
ENSMUSG00002076451	0.4319037100314705	0.0363472418981734	47.45566351869922	True			True		
ENSMUSG00000023036	0.4303134914777619	0.048699848445871	80.38214975975698	True			True		
ENSMUSG00000067149	0.4281750168430523	0.0601291882610302	69.26622553597099	True			True		
ENSMUSG00000059201	0.4269270970847099	0.0503139948360423	104.53822267477098	True			True		
ENSMUSG00000021390	0.4230123938281333	0.0589770291096433	96.77091505199276	True			True		
ENSMUSG00000046794	0.4222851022854172	0.042036874619902	58.70647323762517	True			True		
ENSMUSG00000015134	0.4217048140649099	0.0747299976661822	154.56985475829364	True			True		
ENSMUSG00000067736	0.4215542534396988	0.039521926765713	60.03907061239373	True			True		
ENSMUSG00000048546	0.4206851525336429	0.0455080809342559	88.01596446099991	True			True		
ENSMUSG00002075453	0.4206739617698123	0.0351064206945616	51.25514608310076	True			True		
ENSMUSG00000063415	0.4198057450799284	0.0446547448081657	65.68782231129298	True			True		
ENSMUSG00000079357	0.4176163451712378	0.037348299438347	65.37920158582544	True			True		
ENSMUSG00000076609	0.4174362905257703	0.0451377447895619	75.61719381198962	True			True		
ENSMUSG00000032575	0.4170645227232077	0.0311837607783056	49.91632999329978	True			True		
ENSMUSG00000064945	0.4168154636683263	0.0624468256306728	64.74480674154492	True			True		
ENSMUSG00000023067	0.4160380515488079	0.0260003319384989	32.82133452497019	True			True		
ENSMUSG00000030087	0.4157003102034864	0.0581427241340971	86.57719099162318	True			True		
ENSMUSG00000031549	0.4135125522626959	0.0449401836441925	69.75213258388592	True			True		
ENSMUSG00000042834	0.4122454276141313	0.0775636000308011	92.34847048002474	True			True		
ENSMUSG00000074634	0.411863717338336	0.0350003246504882	63.76080300623574	True			True		
ENSMUSG00000015981	0.4118419927684814	0.0479695105166045	82.5920092987209	True			True		
ENSMUSG00000057137	0.4104752851875839	0.028794394704636	40.96388653436097	True			True		
ENSMUSG00000064563	0.4104321676888214	0.060824029952205	109.09358367933469	True			True		
ENSMUSG00000010064	0.4097252945948861	0.0331766874264325	74.4779161899687	True			True		
ENSMUSG00000027186	0.4095484251449385	0.051336297856308	86.6568520083669	True			True		
ENSMUSG00000001773	0.4092738612263506	0.0326601099642213	62.80676715131897	True			True		
ENSMUSG00000022878	0.4085630443014046	0.0412725206261255	72.94031806895278	True			True		
ENSMUSG00000020108	0.408243311981839	0.0384853916740579	51.37742694997483	True			True		
ENSMUSG00000070661	0.4074223998048764	0.0332217854615694	68.38274636192963	True			True		
ENSMUSG00000107068	0.4073629806431638	0.0335577887731372	65.02645615439918	True			True		
ENSMUSG00000102602	0.4071551266103658	0.0518903962140487	76.73232695546253	True			True		
ENSMUSG00000067719	0.406997142054584	0.0234291855885058	42.429235204042975	True			True		
ENSMUSG00000069300	0.4034563563549803	0.0361188758528626	56.72741841473134	True			True		
ENSMUSG00000107928	0.4032664660033124	0.0515169483928889	103.04290368579488	True			True		
ENSMUSG00000119895	0.4032269269833152	0.0476564316181837	84.8269414749819	True			True		
ENSMUSG00000038526	0.3982219074184433	0.055472205479675	129.78755718480875	True			True		
ENSMUSG00000001025	0.3982173455608854	0.0464507197634277	68.0614428292554	True			True		
ENSMUSG00000026712	0.3981681642445192	0.0380745288607958	79.32723365906566	True			True		
