gene	Symbol	rewiring_mean	rewiring_std	rank_std	high_rewiring	logFC	FDR	low_DE	q_BH	supported
ENSMUSG00000039196	Orm1	0.4934064084377986	0.0404924858594366	18.53887806745597	True			True	0.784145993726832	False
ENSMUSG00000121785	Ubb-ps	0.4885772421589754	0.0469610735585505	16.942254867637896	True			True	0.7563819728963126	False
ENSMUSG00000010064	Slc38a3	0.4816003074065969	0.0328069711091243	14.766177569025778	True			True	0.768663246572757	False
ENSMUSG00000060093	H4c1	0.4688756385441497	0.0461150871477419	27.52889391167033	True			True	0.8608297807676828	False
ENSMUSG00000099519	Gm29253	0.4645208338415943	0.0263345510098125	27.04163456597992	True			True	0.8417450812660393	False
ENSMUSG00000020889	Nr1d1	0.463257643476631	0.0370691506807716	24.23716154998353	True			True	0.6434891411207435	False
ENSMUSG00000097421	D630011A20Rik	0.4585423564983157	0.0639027821654088	88.58239102665948	True			True	0.5935032589687881	False
ENSMUSG00000048572	Tmem252	0.4556844513214853	0.0313371430257526	20.44040117023147	True			True	0.8198848938893514	False
ENSMUSG00000031549	Ido2	0.4545636572601449	0.0503236033702891	56.866949979755375	True			True	0.8843424262585939	False
ENSMUSG00000040808	S100g	0.4536559408769953	0.0606964648280721	49.63275128380453	True			True	0.7736465054387349	False
ENSMUSG00000026837	Col5a1	0.451089974201895	0.0568375481075227	55.24671935961447	True			True	0.499001996007984	False
ENSMUSG00002074875	Snord3a	0.4496475428023032	0.0518161614457575	58.3554624692496	True			True	0.768663246572757	False
ENSMUSG00000073418	C4b	0.4456262128190172	0.0582837783026323	95.35727554832928	True			True	0.991260721799644	False
ENSMUSG00000038526	Car14	0.4430871441936751	0.0515613421398173	85.81748073673567	True			True	0.8093402236622645	False
ENSMUSG00000002289	Angptl4	0.4414785346080162	0.0480377680128201	48.47308531546141	True			True	0.9723771263981982	False
ENSMUSG00000090101	Snhg9	0.4389111459426557	0.0596490485370165	87.90676879512749	True			True	0.8609646378884024	False
ENSMUSG00000118698	Gm25890	0.43445515435347	0.0635759945258526	111.82258269240609	True			True	0.6667078214704613	False
ENSMUSG00000119776	Gm23849	0.433284856282628	0.0578305571311554	89.8879858490555	True			True	0.8608297807676828	False
ENSMUSG00000004951	Hspb1	0.4321508592768232	0.02952400515455	49.01438564340065	True			True	0.768663246572757	False
ENSMUSG00000032946	Rasgrp2	0.4310068244521343	0.0718802344066072	94.19532897123932	True			True	0.5171475231355471	False
ENSMUSG00000023067	Cdkn1a	0.430537641617491	0.0407671974054324	58.045585534129984	True			True	0.6887512528590888	False
ENSMUSG00000023046	Igfbp6	0.4292604969091863	0.03667282846037	42.11840452818696	True			True	0.6473539407671144	False
ENSMUSG00000038264	Sema7a	0.4261735314782069	0.0374128440316634	39.23531572448475	True			True	0.9094111242755132	False
ENSMUSG00000059901	Adamts14	0.4253092833892823	0.057243705479245	78.47139606251439	True			True	0.4165581879718822	False
ENSMUSG00000069300	H2bc11	0.4245740274585278	0.0488431428337881	80.61860827377262	True			True	0.8609646378884024	False
ENSMUSG00000035202	Lars2	0.4239580262319578	0.0565607733499163	80.5121108902257	True			True	0.9747201945174656	False
ENSMUSG00000022033	Pbk	0.4236937690842928	0.0332758195708607	59.07656049568221	True			True	0.791312579104668	False
ENSMUSG00002076451	Gm54587	0.423426356531857	0.0498233302572232	89.65288617774667	True			True	0.9434983505871226	False
ENSMUSG00000011305	Plin5	0.4232052553815218	0.0422922810206861	77.74477474403022	True			True	0.6901451334618898	False
ENSMUSG00000068744	Psrc1	0.4231921823265256	0.0439191492730336	66.62349435446929	True			True	0.8308491869671397	False
ENSMUSG00000118841	Rn7s2	0.4222485072712453	0.0373671401602742	70.32069396699666	True			True	0.9531498800152504	False
ENSMUSG00000064367	mt-Nd5	0.4219230146996886	0.0343828557677958	68.00117646041132	True			True	0.9434983505871226	False
ENSMUSG00000025089	Gfra1	0.4198409979556509	0.0434804056758219	79.41316011845896	True			True	0.7736465054387349	False
ENSMUSG00000078597	Cyp4a12b	0.4189067464820669	0.0549290409364513	96.2725817665653	True			True	0.791312579104668	False
ENSMUSG00000103711	Tstd1	0.4188465365049678	0.0549583540925894	116.87809888939842	True			True	0.8891104180839671	False
ENSMUSG00000102070	Gm28661	0.4179210179654409	0.0519345657872878	99.37404087587464	True			True	0.9244240642950352	False
ENSMUSG00000064563	Snora7a	0.417216007136737	0.0364520925306675	76.05366526341778	True			True	0.784145993726832	False
ENSMUSG00000038775	Vill	0.4150398335624233	0.0296115596317545	43.49436745142984	True			True	0.9946549853313508	False
ENSMUSG00000024526	Cidea	0.4149446889457436	0.0399556309031776	82.15138465053404	True			True	0.6667078214704613	False
ENSMUSG00000024552	Slc14a2	0.4146847593272234	0.0426383425322718	87.95277141739196	True			True	0.7617274285351558	False
ENSMUSG00000074634	Tmem267	0.4145770214686102	0.0491323343752092	99.128452020598	True			True	0.915964680807876	False
ENSMUSG00000079362	Gm43302	0.4140994789018871	0.0440035266259452	85.3147701163169	True			True	0.8010869018265989	False
ENSMUSG00000019874	Fabp7	0.413891355370494	0.0255417160748495	46.208332581905616	True			True	0.5239520958083832	False
ENSMUSG00000026814	Eng	0.4137494098286443	0.043585274807571	106.0207526855002	True			True	0.2395209580838323	False
ENSMUSG00000029368	Alb	0.413609352531117	0.0389231212719532	94.41398201537736	True			True	0.5171475231355471	False
ENSMUSG00000048997	Atxn7l2	0.4130106540306583	0.0368762886723714	76.68272295634786	True			True	0.791312579104668	False
