gene	rewiring_abs_obs	p_perm	q_BH
ENSMUSG00000070645	175.47209726274014	0.0004997501249375312	0.624687656171914
ENSMUSG00000024338	39.846925139427185	0.0004997501249375312	0.624687656171914
ENSMUSG00000064604	95.58458333835006	0.0034982508745627187	0.8745627186406797
ENSMUSG00000119577	55.78774084150791	0.0034982508745627187	0.8745627186406797
ENSMUSG00000047246	43.11168605461717	0.0034982508745627187	0.8745627186406797
ENSMUSG00000054385	43.046072863042355	0.0034982508745627187	0.8745627186406797
ENSMUSG00000066595	36.95000061765313	0.0034982508745627187	0.8745627186406797
ENSMUSG00000051517	37.32902753725648	0.0034982508745627187	0.8745627186406797
ENSMUSG00000105096	41.939216297119856	0.0034982508745627187	0.8745627186406797
ENSMUSG00000042102	37.990934766829014	0.0034982508745627187	0.8745627186406797
ENSMUSG00000045672	43.76184102892876	0.006496751624187906	0.9986866558580701
ENSMUSG00000117748	167.86808121018112	0.0079960019990005	0.9986866558580701
ENSMUSG00000015962	97.21647857874632	0.0079960019990005	0.9986866558580701
ENSMUSG00000027487	301.59583059698343	0.0079960019990005	0.9986866558580701
ENSMUSG00000020681	31.11205867677927	0.009495252373813094	0.9986866558580701
ENSMUSG00000021490	49.226317308843136	0.010994502748625687	0.9986866558580701
ENSMUSG00000069274	35.14518329873681	0.011494252873563218	0.9986866558580701
ENSMUSG00000029417	88.25967286806554	0.013493253373313344	0.9986866558580701
ENSMUSG00000092805	63.95100376754999	0.013493253373313344	0.9986866558580701
ENSMUSG00000119011	59.1863704547286	0.015492253873063468	0.9986866558580701
ENSMUSG00000029188	88.52991276979446	0.015492253873063468	0.9986866558580701
ENSMUSG00000074521	124.04980987124145	0.015492253873063468	0.9986866558580701
ENSMUSG00000034871	52.12518632411957	0.015992003998001	0.9986866558580701
ENSMUSG00000119838	84.28161729872227	0.017491254372813594	0.9986866558580701
ENSMUSG00000042784	69.43864222615957	0.018490754622688656	0.9986866558580701
ENSMUSG00002076696	44.05329729616642	0.018490754622688656	0.9986866558580701
ENSMUSG00000078920	44.11326202005148	0.018490754622688656	0.9986866558580701
ENSMUSG00000027360	55.05623593647033	0.019490254872563718	0.9986866558580701
ENSMUSG00000028262	56.84484080225229	0.02048975512243878	0.9986866558580701
ENSMUSG00000025735	63.687790121883154	0.02148925537231384	0.9986866558580701
ENSMUSG00000028248	54.2411498054862	0.02148925537231384	0.9986866558580701
ENSMUSG00000074063	42.83367583155632	0.021989005497251374	0.9986866558580701
ENSMUSG00000019894	92.07290069945157	0.02348825587206397	0.9986866558580701
ENSMUSG00000022180	78.36890186369419	0.02448775612193903	0.9986866558580701
ENSMUSG00000040562	71.27396082878113	0.02498750624687656	0.9986866558580701
ENSMUSG00000040584	95.33652006462216	0.02498750624687656	0.9986866558580701
ENSMUSG00000078713	43.278593115508556	0.025487256371814093	0.9986866558580701
ENSMUSG00000099927	257.99350551329553	0.025487256371814093	0.9986866558580701
ENSMUSG00000035540	55.100831389427185	0.025987006496751622	0.9986866558580701
ENSMUSG00000026579	51.9699204582721	0.026986506746626688	0.9986866558580701
ENSMUSG00000029414	25.973573874682188	0.02798600699650175	0.9986866558580701
ENSMUSG00000032060	64.53469674289227	0.02948525737131434	0.9986866558580701
ENSMUSG00000091756	274.5808451361954	0.030984507746126936	0.9986866558580701
ENSMUSG00000036887	31.375774562358856	0.030984507746126936	0.9986866558580701
ENSMUSG00000025144	55.43955169431865	0.031484257871064465	0.9986866558580701
ENSMUSG00000061947	71.76001842319965	0.031484257871064465	0.9986866558580701
ENSMUSG00000020062	39.29700313415378	0.031484257871064465	0.9986866558580701
ENSMUSG00000066072	45.984664876013994	0.03698150924537731	0.9986866558580701
ENSMUSG00000034855	70.63141120225191	0.03698150924537731	0.9986866558580701
ENSMUSG00000047330	53.21633214876056	0.037481259370314844	0.9986866558580701
ENSMUSG00000025089	45.30139049887657	0.03798100949525238	0.9986866558580701
ENSMUSG00000029641	62.48240736871958	0.0384807596201899	0.9986866558580701
ENSMUSG00000058443	48.689819879829884	0.0384807596201899	0.9986866558580701
ENSMUSG00000085241	61.97567540407181	0.0384807596201899	0.9986866558580701
ENSMUSG00000102204	61.25619322061539	0.038980509745127435	0.9986866558580701
ENSMUSG00000023015	24.33904342725873	0.038980509745127435	0.9986866558580701
ENSMUSG00000028970	45.19440805260092	0.03948025987006497	0.9986866558580701
ENSMUSG00000054072	31.08399235829711	0.03948025987006497	0.9986866558580701
ENSMUSG00000032193	38.95385060086846	0.0399800099950025	0.9986866558580701
ENSMUSG00000087881	55.90694081503898	0.0399800099950025	0.9986866558580701
ENSMUSG00000066632	140.01625449955463	0.0399800099950025	0.9986866558580701
ENSMUSG00000035299	58.90951555967331	0.04047976011994003	0.9986866558580701
ENSMUSG00000041959	55.16191393136978	0.041979010494752625	0.9986866558580701
ENSMUSG00000027840	114.10254067368805	0.041979010494752625	0.9986866558580701
ENSMUSG00000044258	32.70081617683172	0.04247876061969016	0.9986866558580701
ENSMUSG00000119662	57.76797875389457	0.04247876061969016	0.9986866558580701
ENSMUSG00000006469	45.557969592511654	0.04297851074462768	0.9986866558580701
ENSMUSG00000033569	60.8610107190907	0.04397801099450275	0.9986866558580701
ENSMUSG00000038803	44.281279273331165	0.044977511244377814	0.9986866558580701
ENSMUSG00000010064	45.24071280658245	0.044977511244377814	0.9986866558580701
ENSMUSG00000064945	89.46680487319827	0.04547726136931534	0.9986866558580701
ENSMUSG00000029819	40.327398270368576	0.04597701149425287	0.9986866558580701
ENSMUSG00000034825	48.712452261243016	0.04697651174412794	0.9986866558580701
ENSMUSG00000025362	49.01078864187002	0.04847576211894053	0.9986866558580701
ENSMUSG00000114247	72.41148186847568	0.04897551224387806	0.9986866558580701
ENSMUSG00000040952	36.09720282256603	0.04897551224387806	0.9986866558580701
ENSMUSG00000098950	110.81422661989927	0.049475262368815595	0.9986866558580701
ENSMUSG00000087687	47.78386775031686	0.04997501249375312	0.9986866558580701
ENSMUSG00000111497	166.6904011014849	0.050974512743628186	0.9986866558580701
ENSMUSG00000031004	31.010620310902596	0.05147426286856572	0.9986866558580701
ENSMUSG00000021226	65.00354793015867	0.051974012993503245	0.9986866558580701
ENSMUSG00000028270	39.49308859184384	0.051974012993503245	0.9986866558580701
ENSMUSG00000064356	68.61538801342249	0.05297351324337831	0.9986866558580701
ENSMUSG00000119668	53.552966080605984	0.05347326336831584	0.9986866558580701
ENSMUSG00000078853	38.85461397469044	0.053973013493253376	0.9986866558580701
ENSMUSG00000031549	34.54987917840481	0.0544727636181909	0.9986866558580701
ENSMUSG00000066366	98.96137247234583	0.0544727636181909	0.9986866558580701
ENSMUSG00000045257	44.6450659185648	0.054972513743128434	0.9986866558580701
ENSMUSG00000019232	63.903964541852474	0.05547226386806597	0.9986866558580701
