contrast	rewiring_mean_mean	rewiring_mean_std	rewiring_mean_max	rewiring_std_mean	rewiring_std_max	n_genes
ISS_T_OLD_FLT_minus_GC	0.236	0.0862	0.5	0.0249	0.0707	2500
ISS_T_YNG_FLT_minus_GC	0.2338	0.085	0.4555	0.0247	0.0756	2500
LAR_OLD_FLT_minus_GC	0.2185	0.0811	0.4451	0.024	0.0703	2500
LAR_YNG_FLT_minus_GC	0.2161	0.0813	0.4535	0.0242	0.0813	2500
