gene	symbol	rewiring_mean	rewiring_std	rank_std
ENSMUSG00000039196	Orm1	0.4934064084377986	0.0404924858594366	18.53887806745597
ENSMUSG00000121785	Ubb-ps	0.4885772421589754	0.0469610735585505	16.942254867637896
ENSMUSG00000010064	Slc38a3	0.4816003074065969	0.0328069711091243	14.766177569025778
ENSMUSG00000060093	H4c1	0.4688756385441497	0.0461150871477419	27.52889391167033
ENSMUSG00000099519	ENSMUSG00000099519	0.4645208338415943	0.0263345510098125	27.04163456597992
ENSMUSG00000020889	Nr1d1	0.463257643476631	0.0370691506807716	24.23716154998353
ENSMUSG00000097421	ENSMUSG00000097421	0.4585423564983157	0.0639027821654088	88.58239102665948
ENSMUSG00000048572	Tmem252	0.4556844513214853	0.0313371430257526	20.44040117023147
ENSMUSG00000031549	Ido2	0.4545636572601449	0.0503236033702891	56.866949979755375
ENSMUSG00000040808	S100g	0.4536559408769953	0.0606964648280721	49.63275128380453
ENSMUSG00000026837	Col5a1	0.451089974201895	0.0568375481075227	55.24671935961447
ENSMUSG00002074875	ENSMUSG00002074875	0.4496475428023032	0.0518161614457575	58.3554624692496
ENSMUSG00000073418	C4b	0.4456262128190172	0.0582837783026323	95.35727554832928
ENSMUSG00000038526	Car14	0.4430871441936751	0.0515613421398173	85.81748073673567
ENSMUSG00000002289	Angptl4	0.4414785346080162	0.0480377680128201	48.47308531546141
ENSMUSG00000090101	ENSMUSG00000090101	0.4389111459426557	0.0596490485370165	87.90676879512749
ENSMUSG00000118698	Gm25890	0.43445515435347	0.0635759945258526	111.82258269240609
ENSMUSG00000119776	Gm23849	0.433284856282628	0.0578305571311554	89.8879858490555
ENSMUSG00000004951	Hspb1	0.4321508592768232	0.02952400515455	49.01438564340065
ENSMUSG00000032946	Rasgrp2	0.4310068244521343	0.0718802344066072	94.19532897123932
ENSMUSG00000023067	Cdkn1a	0.430537641617491	0.0407671974054324	58.045585534129984
ENSMUSG00000023046	Igfbp6	0.4292604969091863	0.03667282846037	42.11840452818696
ENSMUSG00000038264	Sema7a	0.4261735314782069	0.0374128440316634	39.23531572448475
ENSMUSG00000059901	Adamts14	0.4253092833892823	0.057243705479245	78.47139606251439
ENSMUSG00000069300	H2bc11	0.4245740274585278	0.0488431428337881	80.61860827377262
ENSMUSG00000035202	Lars2	0.4239580262319578	0.0565607733499163	80.5121108902257
ENSMUSG00000022033	Pbk	0.4236937690842928	0.0332758195708607	59.07656049568221
ENSMUSG00002076451	ENSMUSG00002076451	0.423426356531857	0.0498233302572232	89.65288617774667
ENSMUSG00000011305	Plin5	0.4232052553815218	0.0422922810206861	77.74477474403022
ENSMUSG00000068744	Psrc1	0.4231921823265256	0.0439191492730336	66.62349435446929
ENSMUSG00000118841	Rn7s2	0.4222485072712453	0.0373671401602742	70.32069396699666
ENSMUSG00000064367	mt-Nd5	0.4219230146996886	0.0343828557677958	68.00117646041132
ENSMUSG00000025089	Gfra1	0.4198409979556509	0.0434804056758219	79.41316011845896
ENSMUSG00000078597	Cyp4a12b	0.4189067464820669	0.0549290409364513	96.2725817665653
ENSMUSG00000103711	Tstd1	0.4188465365049678	0.0549583540925894	116.87809888939842
ENSMUSG00000102070	ENSMUSG00000102070	0.4179210179654409	0.0519345657872878	99.37404087587464
ENSMUSG00000064563	Snora7a	0.417216007136737	0.0364520925306675	76.05366526341778
ENSMUSG00000038775	Vill	0.4150398335624233	0.0296115596317545	43.49436745142984
ENSMUSG00000024526	Cidea	0.4149446889457436	0.0399556309031776	82.15138465053404
ENSMUSG00000024552	Slc14a2	0.4146847593272234	0.0426383425322718	87.95277141739196
ENSMUSG00000074634	Tmem267	0.4145770214686102	0.0491323343752092	99.128452020598
ENSMUSG00000079362	ENSMUSG00000079362	0.4140994789018871	0.0440035266259452	85.3147701163169
ENSMUSG00000019874	Fabp7	0.413891355370494	0.0255417160748495	46.208332581905616
ENSMUSG00000026814	Eng	0.4137494098286443	0.043585274807571	106.0207526855002
ENSMUSG00000029368	Alb	0.413609352531117	0.0389231212719532	94.41398201537736
ENSMUSG00000048997	Atxn7l2	0.4130106540306583	0.0368762886723714	76.68272295634786
ENSMUSG00000116358	ENSMUSG00000116358	0.4127858845003938	0.052542142866477	100.08101718108183
ENSMUSG00000032978	Guca2b	0.4127612500218774	0.0636704329953867	126.51343802142128
ENSMUSG00000058620	Adra2b	0.4125007853204613	0.0445873179469465	78.38628706604236
ENSMUSG00000022218	Tgm1	0.412064640302713	0.0311774026891851	55.82150123384358
