contrast	rewiring_mean_mean	rewiring_mean_std	rewiring_mean_max	rewiring_std_mean	rewiring_std_max	n_genes
ISS_T_OLD_FLT_minus_GC	0.2326	0.0851	0.4925	0.0251	0.0652	2500
ISS_T_YNG_FLT_minus_GC	0.2325	0.0856	0.4717	0.0252	0.0693	2500
LAR_OLD_FLT_minus_GC	0.2238	0.0835	0.4583	0.0245	0.0696	2500
LAR_YNG_FLT_minus_GC	0.2144	0.0812	0.4542	0.0243	0.0791	2500
