effect	n_genes	n_significant_q05	n_significant_q01	n_significant_q001	median_p_stouffer	min_p_stouffer
flight_effect	2500	169	138	97	0.9920569464855291	0.0
age_flight_interaction	2500	102	71	49	0.9805141089445599	0.0
