gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000073640	311	0.055946590378881	0.0730437266376653	0.0	0.0	ENSMUSG00000073640
ENSMUSG00000065208	90	1.5055387750267966	1.721990163713489	0.0	0.0	ENSMUSG00000065208
ENSMUSG00000023885	158	-0.3174636262468964	-0.4116431972104877	0.0	0.0	ENSMUSG00000023885
ENSMUSG00000087881	92	1.3187872916460015	1.760504674376813	0.0	0.0	ENSMUSG00000087881
ENSMUSG00000078896	272	0.4183173641562467	0.7995318944188587	0.0	0.0	ENSMUSG00000078896
ENSMUSG00000017724	217	0.149124779552221	0.2230228393186457	0.0	0.0	ENSMUSG00000017724
ENSMUSG00000029659	123	0.2778811424970663	0.2926980000441471	3.996802888650564e-14	1.4274296030894867e-11	ENSMUSG00000029659
ENSMUSG00000065016	96	1.2882037423551065	1.395987867227177	8.308909116294673e-13	2.596534098842085e-10	ENSMUSG00000065016
ENSMUSG00000049103	182	-0.1228457389399413	-0.1625857460883382	1.4560352923354003e-11	4.044542478709445e-09	ENSMUSG00000049103
ENSMUSG00000058443	91	-0.8451063463464369	-1.228146863373375	3.5495051342593337e-10	8.873762835648337e-08	ENSMUSG00000058443
ENSMUSG00000064513	81	1.0243068695068365	1.1342593740794322	8.000536899643861e-10	1.8183038408281504e-07	ENSMUSG00000064513
ENSMUSG00000025479	213	-0.3390022367238989	-0.4268510131713966	1.0053233800988435e-09	2.0944237085392578e-07	ENSMUSG00000025479
ENSMUSG00000065105	81	1.1747447282075834	1.2328436467619468	1.957758621884409e-09	3.7649204267007866e-07	ENSMUSG00000065105
ENSMUSG00000019894	158	-0.0757780548185088	-0.081039246611847	4.5909626100737455e-09	8.198147517988832e-07	ENSMUSG00000019894
ENSMUSG00000118839	82	1.2025973998010144	1.3556565406642933	5.185498141990763e-09	8.642496903317939e-07	ENSMUSG00000118839
ENSMUSG00000064966	81	1.0529282808303828	1.1076214180596171	7.277293767593562e-09	1.137077151186494e-06	ENSMUSG00000064966
ENSMUSG00000051669	81	1.0438464522361737	1.2645803092657082	1.7543270391939814e-08	2.5798927046970317e-06	ENSMUSG00000051669
