gene,Symbol,rewiring_mean,rewiring_std,rank_std,logFC,Category
ENSMUSG00000005125,Ndrg1,0.3300935783333394,0.0607659213661411,213.7140379104752,0.2204492370838725,Silent Shifter
ENSMUSG00000092837,Rpph1,0.3183519262110267,0.0605620856324165,211.79622281806635,-0.1631093241708757,Silent Shifter
ENSMUSG00000048583,Igf2,0.3264077847069758,0.0626023532583352,202.75739197375765,-0.3628095659987235,Silent Shifter
ENSMUSG00000092595,Gm20427,0.3077489307539821,0.0503437173971038,201.04178670117315,-0.2767383543378887,Silent Shifter
ENSMUSG00000091405,H4c14,0.2970340475391947,0.05242514457001,200.1198640815049,-0.161258578474378,Silent Shifter
ENSMUSG00000066366,Serpina1a,0.3101048815224895,0.0529424436746963,195.8347517679128,0.0086236860748081,Silent Shifter
ENSMUSG00000078894,2210418O10Rik,0.3420152425917485,0.0548830054970727,193.23653898784252,0.2739606807547953,Silent Shifter
ENSMUSG00000040998,Npnt,0.3482636744386954,0.0579309668101222,192.5537846940433,0.4783856072102735,Silent Shifter
ENSMUSG00000104503,Gm37738,0.3053166879620354,0.0527751489691667,189.68342046684,-0.3492212469245772,Silent Shifter
ENSMUSG00000046999,1110032F04Rik,0.3652318516275521,0.0552258953194174,188.75062913802435,-0.0951094407845535,Silent Shifter
ENSMUSG00000021384,Susd3,0.3379638862588573,0.0507810269650593,187.93999042247503,-0.2196300126200538,Silent Shifter
ENSMUSG00000042737,Dpm3,0.2887315030405269,0.0472561428444728,187.7772350419507,0.0181321109528104,Silent Shifter
ENSMUSG00000029482,Aacs,0.3041196432046312,0.0491146455294743,186.54275649298205,-0.2002582722882916,Silent Shifter
ENSMUSG00000037892,Pcdh18,0.2693821321113292,0.0475399328822874,182.40890877366704,0.1377095472763761,Silent Shifter
ENSMUSG00000021453,Gadd45g,0.2963882229233969,0.0468777190779053,182.10878616914675,0.4526905039880233,Silent Shifter
ENSMUSG00000060317,Acnat2,0.3197224858356256,0.0461627616001243,181.5746678366781,0.0456960125174754,Silent Shifter
ENSMUSG00000039519,Cyp7b1,0.3156891287375963,0.0469232171672563,181.1379584736452,-0.1605067195419087,Silent Shifter
ENSMUSG00000027070,Lrp2,0.3061569269486229,0.0454973884838177,180.5802037876799,-0.1432228015630062,Silent Shifter
ENSMUSG00000063011,Msln,0.2895956396604214,0.0462337808709309,180.16670058587408,-0.0237277375447697,Silent Shifter
ENSMUSG00000057722,Lepr,0.3055891166340443,0.049731164971848,179.23113568797137,-0.0319924214322723,Silent Shifter
ENSMUSG00000074578,Zfas1,0.3533512668040707,0.0572383377526923,178.27307704754523,-0.4948488807588872,Silent Shifter
ENSMUSG00000055782,Abcd2,0.3310788617863588,0.0546132944907681,178.26342866667858,0.2432381693162749,Silent Shifter
ENSMUSG00000064339,mt-Rnr2,0.2970503774017286,0.0455157290326208,176.81979527190953,-0.1573015604955154,Silent Shifter
ENSMUSG00000074445,Sprr2a3,0.3024868482224496,0.0463773289842679,176.5654552850019,0.2247467566562923,Silent Shifter
ENSMUSG00000058443,Rpl10-ps3,0.2870724849889708,0.0433607349835495,176.50385264917023,-0.0797970047522721,Silent Shifter
ENSMUSG00000024644,Cndp2,0.283857343010231,0.0438430499269004,176.46008047147663,0.0093600778526817,Silent Shifter
ENSMUSG00000105434,Gm43359,0.3092077494652366,0.0430003720392476,176.2319210585869,-0.2904992978384547,Silent Shifter
ENSMUSG00000030004,Nat8,0.3079611904418987,0.0443248218479093,175.93180496999398,-0.3000136851027065,Silent Shifter
ENSMUSG00000044471,Lncpint,0.3282715767291917,0.0465087607815207,175.8338988932453,-0.3892140115353343,Silent Shifter
ENSMUSG00000030862,Cpxm2,0.3465254290095306,0.0514942851016083,175.57346040902652,0.1433822917784037,Silent Shifter
ENSMUSG00000022123,Scel,0.3246212510859615,0.0470707021703728,175.11496223909597,0.3864060143013932,Silent Shifter
ENSMUSG00000021207,Akr1c21,0.3063633583090007,0.0438443637263509,174.96216733911365,0.3368886282588526,Silent Shifter
ENSMUSG00000042766,Trim46,0.3007278155836227,0.0447779816385234,174.45755930884735,-0.3733410620387488,Silent Shifter
ENSMUSG00000022887,Masp1,0.3345149972298096,0.0468128544341526,173.54137835110103,-0.0327670766427161,Silent Shifter
ENSMUSG00000071532,Gm10335,0.3312246537416357,0.0506586359436476,173.43531935566068,-0.0729807259216665,Silent Shifter
ENSMUSG00000067144,Slc22a7,0.2983882081266324,0.0441812398419879,173.34024345200396,0.2209693907475254,Silent Shifter
ENSMUSG00000028937,Acot7,0.3602695534573585,0.0576892311303622,173.27204044507585,-0.1820993127559294,Silent Shifter
ENSMUSG00000069265,H3c1,0.2934475734537909,0.0433515630527205,173.05386444688256,-0.2236567727487788,Silent Shifter
ENSMUSG00000091694,Apol11b,0.2857089683399197,0.0458457749401913,172.98037460937584,0.0112114737760165,Silent Shifter
ENSMUSG00000027111,Itga6,0.2773433187690718,0.0445993343897525,172.81851752633457,0.4698883165654646,Silent Shifter
ENSMUSG00000068964,Gm6361,0.2983396827889818,0.0433297198536987,172.59710310431055,0.1275449471301114,Silent Shifter
ENSMUSG00000022951,Rcan1,0.3147984892116734,0.0495951572990749,172.35721626900337,-0.2931305572614956,Silent Shifter
ENSMUSG00000012705,Retn,0.3153398651619877,0.0436957707605158,169.79151922283987,0.2161576621714883,Silent Shifter
ENSMUSG00000056749,Nfil3,0.3014914402198249,0.0422239098216271,169.09243034506306,0.2740616331083926,Silent Shifter
ENSMUSG00000005611,Irag1,0.2778910499450977,0.0432975223979764,167.99892856801202,0.1952804117750577,Silent Shifter
ENSMUSG00000024164,C3,0.3507029796377361,0.0576154866480778,167.92391134082126,0.161267546391325,Silent Shifter
ENSMUSG00000079165,Sap25,0.3265530074313091,0.0486050612874944,167.75222800308794,-0.1960042132423735,Silent Shifter
ENSMUSG00000069307,H2bc23,0.2894796381412495,0.0422446033186047,167.58582875649122,-0.1846141795659275,Silent Shifter
ENSMUSG00000021565,Slc6a19,0.279235767263264,0.0409681163375869,167.29375361919523,-0.301514608090991,Silent Shifter
ENSMUSG00000034522,Zfp395,0.3202912935299427,0.0459869003291368,167.1265688034072,-0.0538499591270969,Silent Shifter
ENSMUSG00000079042,Apela,0.3626545029410655,0.047810876117536,166.96035457556982,0.1470923102569601,Silent Shifter
ENSMUSG00000109429,Gm45223,0.3076028700921266,0.0427847709839801,166.90907704495882,-0.4119361367786035,Silent Shifter
ENSMUSG00000029231,Pdgfra,0.3038203799550894,0.0448174477261271,166.28953665218987,0.3153483471318403,Silent Shifter
ENSMUSG00000065701,Rny1,0.32888245720493,0.0488159746892325,165.32153519732387,-0.4567258210079786,Silent Shifter
ENSMUSG00000085334,Gm12940,0.3302492051952775,0.0456318793416063,165.24857034177333,-0.4564461875792315,Silent Shifter
ENSMUSG00000015981,Stk32c,0.3427682828751036,0.0464364716551547,164.9513867780444,-0.015619702293715,Silent Shifter
ENSMUSG00000093535,4930533I22Rik,0.3207361163801491,0.0444681606542667,164.0797367135869,-0.0921992572935265,Silent Shifter
ENSMUSG00000026185,Igfbp5,0.2974600617274977,0.0405530817306025,163.86628695372335,0.3524881194689888,Silent Shifter
ENSMUSG00000034450,Gulo,0.3062491905180357,0.040630855509399,163.1638440341487,0.1026868534707655,Silent Shifter
ENSMUSG00000054364,Rhob,0.2783071855943868,0.0403340509611435,163.12927389037196,0.4298062974952694,Silent Shifter
ENSMUSG00000030987,Stim1,0.2917129385527848,0.0407767426586434,163.09705699368092,-0.0471197473722732,Silent Shifter
ENSMUSG00000088990,Gm22767,0.2961165422038868,0.0408016126107601,162.37490569666238,-0.3232787902577209,Silent Shifter
ENSMUSG00000020532,Acaca,0.3026751914530803,0.04134540969935,162.14697036947686,-0.0116993336253306,Silent Shifter
ENSMUSG00000006313,Upk1a,0.2937045809175791,0.0401640306253339,161.69492880112227,-0.0196381528773435,Silent Shifter
ENSMUSG00000029188,Slc34a2,0.3528394625210104,0.0453498276870219,161.0856914812734,0.189801638778248,Silent Shifter
ENSMUSG00000052516,Robo2,0.2755275016813454,0.042621874233342,160.83037648404607,0.0231202962543827,Silent Shifter
ENSMUSG00000038224,Serpinf2,0.3336941261379983,0.0469873464099091,160.61198585410742,0.2914739071011551,Silent Shifter
ENSMUSG00000041577,Prelp,0.3145326871768544,0.0434859518579151,160.13497431854168,0.26402230517867,Silent Shifter
ENSMUSG00000083012,Fam220a,0.3073160162197157,0.0396087036719405,159.49134772770591,0.1207716013500849,Silent Shifter
ENSMUSG00000015090,Ptgds,0.2975663645935046,0.041211828147074,159.13214634384846,-0.0753924010030542,Silent Shifter
ENSMUSG00000110558,Gm45779,0.3234751199172286,0.0447738068237951,159.12790452965814,-0.3177778308227789,Silent Shifter
ENSMUSG00000069267,H3c2,0.3910545442183279,0.052028137152818,158.685096968808,-0.2310235931151481,Silent Shifter
ENSMUSG00000048126,Col6a3,0.3502011362383198,0.0511176503337722,158.57581782857056,0.2326344281882332,Silent Shifter
ENSMUSG00000044986,Tst,0.3373442307076957,0.0431861831237106,158.0932952405003,0.0411658010860137,Silent Shifter
ENSMUSG00000089774,Slc5a3,0.3122306636592505,0.039349118285158,157.99053769134403,0.0716391231687546,Silent Shifter
ENSMUSG00000032515,Csrnp1,0.3022434521098868,0.0422478824734172,157.98303706411014,0.0304979423439416,Silent Shifter
ENSMUSG00000064368,mt-Nd6,0.3330555726736065,0.0480763000450756,157.10089114960488,-0.0678786622292282,Silent Shifter
ENSMUSG00000037440,Vnn1,0.305899888439654,0.0410935731288433,156.8968132244884,-0.3270804072095143,Silent Shifter
ENSMUSG00000009633,G0s2,0.2878178655777644,0.0382228947759691,156.71952654344005,-0.200902690812074,Silent Shifter
ENSMUSG00000031431,Tsc22d3,0.2906109559048911,0.0390804295738654,156.66346096011029,2.489632650592988e-07,Silent Shifter
ENSMUSG00000031604,Msmo1,0.2940960859998303,0.0398578229019718,156.00435891346115,0.3587877897257487,Silent Shifter
ENSMUSG00000060678,H4c3,0.3259218952042986,0.0434591312873389,155.96374578728225,-0.0311107189328288,Silent Shifter
ENSMUSG00000080365,Gm25776,0.3129344316829099,0.0443194265830133,155.846206241923,-0.4901459226746277,Silent Shifter
ENSMUSG00000050074,Spink8,0.3071172555523571,0.0409188900606321,155.7124272497221,0.1039826281588736,Silent Shifter
ENSMUSG00000047246,H2bc6,0.340454641013448,0.0447023326178303,155.68445651380873,-0.1615138945460359,Silent Shifter
ENSMUSG00000064363,mt-Nd4,0.2984542234401894,0.0398755501945511,155.56249548011243,-0.065133519934552,Silent Shifter
ENSMUSG00000001930,Vwf,0.380398749686905,0.0662226830818394,155.5345942226359,-0.2615466875842027,Silent Shifter
