contrast	n_genes	n_significant_q05	n_significant_q01	median_pvalue
ISS_T_OLD_FLT_minus_GC	2500	0	0	0.4245377311344327
LAR_YNG_FLT_minus_GC	2500	0	0	0.5492253873063468
ISS_T_YNG_FLT_minus_GC	2500	44	0	0.3433283358320839
LAR_OLD_FLT_minus_GC	2500	0	0	0.45202398800599697
