	count	mean	std	min	25%	50%	75%	max
Podocyte	80.0	-1.1353468003583926	0.5649141959389915	-1.92865945722035	-1.5078558547264074	-1.28168689890588	-0.9440446373408322	0.507900004415018
Endothelial	80.0	0.9078593207939356	0.5732827662438933	0.0601324474754743	0.5140539427781647	0.771849042498792	1.096721282650345	2.56533821822427
Mesangial	80.0	-1.391221436070682	0.5762100653423279	-2.2335848829485	-1.7741298128561573	-1.5313232011970799	-1.21076291708177	0.28221920681147
PT	80.0	3.0501562711142665	0.3515950477401422	2.45783777465286	2.786306075669725	2.935962351867465	3.21802215974709	4.02240870850068
TAL_LOH	80.0	1.5803109368250448	0.3528212807641741	1.00743736180889	1.3137224737769775	1.489894991297455	1.7566364084859074	2.56902820809609
DCT	80.0	0.8068555146849778	0.32964876785774666	0.319128796364355	0.5509088664150548	0.744313848999559	1.0073572676423779	1.60311905325239
CD	80.0	0.14912371067761865	0.3629344792774359	-0.442648684516616	-0.142645209629145	0.050516494845791904	0.36308161801616623	1.18822432339856
Other	80.0	0.8650440605001524	0.34957128202879856	0.302530019308261	0.604706910720012	0.7597896017637955	1.032922863726625	1.83977972116296
Immune	80.0	-4.475415555976515	2.7627882765928016	-9.77836675767607	-5.13139720972042	-3.24773873351699	-2.7311250886046228	-0.691983710774322
Fibroblast	80.0	-0.35736602219040636	0.5653441630536934	-1.71025456202085	-0.7135844365764785	-0.324323252842474	0.05106199356613552	0.856661296664325
