gene	rewiring_mean	rewiring_std	rank_std	high_rewiring	logFC	FDR	low_DE	q_BH	supported
ENSMUSG00000038274	0.4890139076712317	0.0496716801514695	10.735455276791944	True			True		
ENSMUSG00000028527	0.436332553631905	0.0495742100506255	86.6831010059054	True			True		
ENSMUSG00000028982	0.435521877641882	0.0458718557932854	59.688859932151495	True			True		
ENSMUSG00000023272	0.4335188429478835	0.0624007331825404	99.50502499874064	True			True		
ENSMUSG00000036565	0.4313889194693662	0.0518983859219902	142.581345203361	True			True		
ENSMUSG00000097583	0.4303324099345839	0.0515715728820635	53.673922904889295	True			True		
ENSMUSG00000067288	0.4301125751954989	0.0398667932651779	46.312957150240365	True			True		
ENSMUSG00000038241	0.4288887556837196	0.0295447041028977	28.00874863323958	True			True		
ENSMUSG00000052698	0.424784892986136	0.0277690221150779	29.02223285689783	True			True		
ENSMUSG00000050359	0.4235993135056723	0.05695127643303	74.22102128103602	True			True		
ENSMUSG00000119838	0.4232361120913754	0.0475811877640109	117.01234977556858	True			True		
ENSMUSG00000021388	0.4219283087324002	0.0253125754382162	28.06706254669341	True			True		
ENSMUSG00000038393	0.4210244658498797	0.0494049199774603	98.47847480541115	True			True		
ENSMUSG00000112366	0.420973251770638	0.0325062429479839	46.06126355192615	True			True		
ENSMUSG00000020654	0.4175564565255711	0.0283685651768428	58.43877137654419	True			True		
ENSMUSG00000027676	0.4174184805629698	0.0287828160121311	49.63073644426405	True			True		
ENSMUSG00000106918	0.4173404660482852	0.0623802429122315	170.70746908088114	True			True		
ENSMUSG00000070392	0.4172444084555386	0.0442728026762492	86.92433491261235	True			True		
ENSMUSG00000114247	0.414950756106482	0.0630383135756126	152.02516239096738	True			True		
ENSMUSG00000102813	0.4139769202344697	0.0261329919204816	42.15874760948195	True			True		
ENSMUSG00000033855	0.4120352376226092	0.0311480141284673	46.471066267087096	True			True		
ENSMUSG00000101514	0.4081099178679304	0.0273897657916675	33.95349761070279	True			True		
ENSMUSG00000000253	0.4054720671310455	0.0501351360495279	108.75495391015528	True			True		
ENSMUSG00000121042	0.4048308724822208	0.0569426207222252	124.527145634998	True			True		
ENSMUSG00000023089	0.4044146704945934	0.0213931474196263	48.07286136688766	True			True		
ENSMUSG00000078247	0.4026099232865276	0.0387655899331369	90.05359515310869	True			True		
ENSMUSG00000098318	0.4016577230814587	0.0481622328552701	108.96348012063493	True			True		
ENSMUSG00000022372	0.4013849685191859	0.060848102385105	118.99260481223192	True			True		
ENSMUSG00000121129	0.4008079327656729	0.0438307283413905	114.7553920301787	True			True		
ENSMUSG00000020889	0.4007531118009961	0.041190997522605	112.4224176932697	True			True		
ENSMUSG00000015568	0.3981679878256751	0.049526279214886	88.95959757103222	True			True		
ENSMUSG00000042487	0.3980548796377799	0.0575885751062659	192.8477119387212	True			True		
ENSMUSG00000053897	0.3980548627157485	0.0364890024270195	104.97237731898808	True			True		
ENSMUSG00000031762	0.3970730417923256	0.0324316969282532	77.45605205534298	True			True		
ENSMUSG00000038884	0.397032195483105	0.0323801267601143	89.78284914169299	True			True		
ENSMUSG00000021917	0.3967732728832738	0.0619587647173087	232.107410480579	True			True		
ENSMUSG00000101249	0.3966290525308312	0.0495543002450577	141.06580024938717	True			True		
ENSMUSG00000020904	0.39641490990451	0.0453073829696145	133.16095523838808	True			True		
ENSMUSG00000059534	0.3962733746142856	0.0486129927264815	133.84632979652451	True			True		
ENSMUSG00000061474	0.3960465054851981	0.0334713257913665	85.98191670345572	True			True		
ENSMUSG00000070348	0.3946644063642268	0.0171060875888958	36.11384775955063	True			True		
ENSMUSG00000089809	0.3941618742022769	0.0283381773132207	77.36019648372152	True			True		
ENSMUSG00000025934	0.3931946367299338	0.0413922660447984	112.65012205941012	True			True		
ENSMUSG00000055022	0.392517742610481	0.0322950604854846	66.27789978567516	True			True		
ENSMUSG00000019738	0.3918407658682752	0.04336194015706	127.0062990563854	True			True		
ENSMUSG00000089281	0.3912830207670116	0.0417026655197501	197.2638841754871	True			True		
ENSMUSG00002076161	0.3909115091588749	0.0320926033755607	101.86387976117932	True			True		
ENSMUSG00000109814	0.3900100342633021	0.0387825527923581	103.15444731081642	True			True		
ENSMUSG00000019894	0.38879218830322	0.0407421405170846	137.54475635225066	True			True		
ENSMUSG00000044313	0.3882636245744335	0.0298622013008597	83.25406896963055	True			True		
ENSMUSG00000002346	0.3880152055909115	0.0344211340953739	142.77338687584603	True			True		
ENSMUSG00000071532	0.3879314937657847	0.0462955281467673	201.6215266284828	True			True		
ENSMUSG00000064220	0.3878127467815155	0.0389120191781696	113.93419153177857	True			True		
ENSMUSG00000061589	0.3876470412380611	0.0368443345613498	123.68605418558715	True			True		
ENSMUSG00000026077	0.3870586790079902	0.035959936800325	73.96377491718496	True			True		
ENSMUSG00000037152	0.3866259557777087	0.0576479666577031	226.80099206132232	True			True		
ENSMUSG00000021620	0.3862985191876111	0.039451897011039	142.5929872048412	True			True		
ENSMUSG00000031119	0.3851001263253265	0.0296263137796919	89.51988605890872	True			True		
ENSMUSG00000090553	0.3848187881476449	0.0303295387039861	98.23242845415152	True			True		
ENSMUSG00000064966	0.3844114099355646	0.0345729279069487	163.06333125506788	True			True		
ENSMUSG00000029547	0.3839707370361238	0.0279015258273842	132.0803164744846	True			True		
ENSMUSG00000070661	0.3838608814175018	0.0421810345633141	149.54146582135672	True			True		
ENSMUSG00000031710	0.3836491807160803	0.0371217818622122	144.2948717037442	True			True		
ENSMUSG00000118837	0.383397867874157	0.044322409800718	242.15813015465744	True			True		
ENSMUSG00000030680	0.3820362558749452	0.0432539410030382	237.69621368461048	True			True		
ENSMUSG00000039911	0.3811985321082596	0.0484534438765361	185.15023629474524	True			True		
ENSMUSG00000118653	0.3809631661820561	0.0440201238971106	180.689346669913	True			True		
ENSMUSG00000028327	0.380537468781578	0.0431816491593297	142.19004887825307	True			True		
ENSMUSG00000119648	0.3802783429788612	0.0379461777987121	164.94268701582376	True			True		
ENSMUSG00000039639	0.3802064765819377	0.0323603418778816	86.63607793523434	True			True		
ENSMUSG00000034785	0.3799412666389362	0.0487255618492745	165.7028967761276	True			True		
ENSMUSG00000041841	0.3795005530800375	0.0181910188301575	77.04862101296817	True			True		
ENSMUSG00000048376	0.3791821903064512	0.0501728647369849	146.2333751234649	True			True		
ENSMUSG00000104737	0.3790128687481257	0.0290268517573293	114.42818708692364	True			True		
ENSMUSG00000119776	0.3789606847748758	0.0490187083379032	222.29307231670535	True			True		
ENSMUSG00000110928	0.3787523028266181	0.0393239399814896	183.97796063659365	True			True		
ENSMUSG00000039062	0.3785812139581536	0.0323416261551124	128.65383787512908	True			True		
ENSMUSG00000057137	0.3781518843721724	0.0239467635985561	111.9097850949594	True			True		
ENSMUSG00000072949	0.3777412718513906	0.0317071313412471	100.85578813335404	True			True		
ENSMUSG00000059213	0.3776860839570483	0.0255329633280762	93.17751874781813	True			True		
ENSMUSG00000103711	0.3770527621127971	0.040944174665803	181.88955440046576	True			True		
ENSMUSG00000023868	0.3768145869731521	0.0421799539871511	125.57105558208868	True			True		
ENSMUSG00000089774	0.3767805858686997	0.0398826115281593	118.14465709459738	True			True		
ENSMUSG00000029231	0.3763766304500877	0.0335749690793028	133.59075566819735	True			True		
ENSMUSG00000064994	0.3755952492842841	0.0439182571932757	137.0163858813974	True			True		
ENSMUSG00000111605	0.3748114905351652	0.034587013611998	124.36623335938096	True			True		
ENSMUSG00000038271	0.374392145942059	0.0323091284906746	123.46209944756326	True			True		
ENSMUSG00000070645	0.3743412825512001	0.036974209346697	155.4789053215902	True			True		
ENSMUSG00000032010	0.3743339145185098	0.0357737300795784	129.14937088503373	True			True		
ENSMUSG00000100426	0.3743229322436022	0.0511742574647235	253.00958479867916	True			True		
ENSMUSG00000046794	0.3742356737585546	0.0392871103520355	153.71480084884473	True			True		
ENSMUSG00000047502	0.3734140468710771	0.0318553116809815	112.13300138674607	True			True		
ENSMUSG00000091705	0.3732985397231717	0.0437227055919291	161.83955017238523	True			True		
ENSMUSG00000102594	0.3730217423312946	0.0479886929098927	123.83472856997749	True			True		
ENSMUSG00000075702	0.3727692589214378	0.0494594664788097	197.26958711367547	True			True		
ENSMUSG00000042766	0.3725984122101738	0.0374266309662086	149.84004805124698	True			True		
ENSMUSG00000009418	0.3724684962218087	0.0403134803264276	133.7340644712483	True			True		
ENSMUSG00000087819	0.3723772276929595	0.034642060340747	126.66589912048153	True			True		
ENSMUSG00000032115	0.3723698583490514	0.0516464038539154	184.16582201917925	True			True		
ENSMUSG00000074653	0.3720398457387516	0.0284216080166486	129.8206840222312	True			True		
ENSMUSG00000079435	0.3709928790047938	0.0338488371566746	132.9775920973154	True			True		
ENSMUSG00000112188	0.3706345587561238	0.0411335511863988	177.67374595026695	True			True		
ENSMUSG00000084786	0.3694349869808348	0.0380099186149537	165.1902236816695	True			True		
ENSMUSG00000029321	0.3690285282419678	0.0402141661679832	173.62154244217504	True			True		
ENSMUSG00000067629	0.3685648068488479	0.0487013848343311	231.2593565674695	True			True		
ENSMUSG00000026355	0.3674406120049456	0.0323755425713849	134.71380775555266	True			True		
ENSMUSG00000054520	0.3671463275152918	0.0386110870336559	218.7512057109629	True			True		
ENSMUSG00000121782	0.3669505994328659	0.0461044097361621	207.2419841634412	True			True		
ENSMUSG00000034282	0.3668797644411444	0.0345396128438329	171.33432230583574	True			True		
ENSMUSG00000065686	0.3667314636266779	0.0293892954758591	137.59563946579118	True			True		
ENSMUSG00000059743	0.366491289603862	0.0465181255562114	187.1854962330148	True			True		
ENSMUSG00000027361	0.3664237942131187	0.0220797323379794	81.84014907122298	True			True		
ENSMUSG00000060678	0.3660547567653199	0.0417655342699727	225.3509485225212	True			True		
ENSMUSG00000075420	0.3652627740113182	0.029245942039109	95.01789305178262	True			True		
ENSMUSG00000055333	0.365121964641136	0.041020187855766	213.03342460750144	True			True		
ENSMUSG00000034739	0.3650342519791554	0.0461529078444873	227.8704895329801	True			True		
ENSMUSG00000029098	0.3643181871015634	0.0411393237881058	190.5618272372513	True			True		
ENSMUSG00000062727	0.3642693789129673	0.0396205312891316	174.16762041206167	True			True		
ENSMUSG00000029561	0.3638401952522617	0.0272423888167894	125.80655785768882	True			True		
ENSMUSG00000094932	0.3638377060631884	0.0415171168420986	242.54277973174132	True			True		
ENSMUSG00000064945	0.3638175413726713	0.0350671311760889	180.56123614995556	True			True		
ENSMUSG00000054146	0.3638087342676423	0.0336859774513779	155.08517014853484	True			True		
ENSMUSG00000120254	0.3638076310353503	0.0311725127585211	186.7981798626529	True			True		
ENSMUSG00000030222	0.3635336901864699	0.0306225186800549	128.9247842736221	True			True		
ENSMUSG00000040204	0.362763443732414	0.0269862949319943	113.26535216031424	True			True		
ENSMUSG00000070639	0.3626974921895006	0.0362052359430243	151.76063389430078	True			True		
ENSMUSG00000049152	0.3626033237393973	0.0461480454516047	204.64662225406997	True			True		
ENSMUSG00000000120	0.3624167941788714	0.0366084489198806	199.16013657356237	True			True		
ENSMUSG00000024810	0.3621793216702236	0.0397388423627027	162.59953874473322	True			True		
ENSMUSG00000047501	0.3618467133290615	0.0226882368135414	108.32820500682176	True			True		
ENSMUSG00000021763	0.3612763181857811	0.0493560553196879	204.44520048169383	True			True		
ENSMUSG00000000402	0.3612302313306658	0.0304858485336688	151.8797221488109	True			True		
ENSMUSG00000032080	0.3611166717789566	0.0331663086239368	187.03927395068663	True			True		
ENSMUSG00000109555	0.3609556067649085	0.0356159161596089	216.65040964650865	True			True		
ENSMUSG00000119892	0.3609344415376438	0.0349291048523866	195.03386885359168	True			True		
ENSMUSG00000004151	0.3608378715306292	0.0353719921189955	164.94774930262008	True			True		
ENSMUSG00000023905	0.3607947391201898	0.0315261479462052	177.99988764041396	True			True		
ENSMUSG00000031661	0.3607351774170565	0.0382330502908306	223.17636523610648	True			True		
ENSMUSG00000002625	0.3605006835147502	0.0452992501374305	150.96688378581575	True			True		
ENSMUSG00000026678	0.360196352001451	0.0408522999093888	184.24681815434425	True			True		
ENSMUSG00000031278	0.3599889301191071	0.0298674751703397	124.64445434916068	True			True		
ENSMUSG00000029714	0.3597342970784569	0.0544285703514153	313.91350719585165	True			True		
ENSMUSG00000028463	0.3595792258096583	0.0476513712973752	261.1754965535626	True			True		
ENSMUSG00000038624	0.3593328806455803	0.0155937787199633	79.86112946859693	True			True		
ENSMUSG00000102982	0.3593267893706159	0.0278287370124068	119.28071931372648	True			True		
ENSMUSG00000056328	0.3592828557257759	0.0521420060645454	370.82563287885046	True			True		
ENSMUSG00000026930	0.3592008922865968	0.047227222528108	293.7891080349985	True			True		
ENSMUSG00000001517	0.3590669639580222	0.0536302104531906	226.7586602535833	True			True		
ENSMUSG00000043822	0.3587722250856739	0.0489116844687322	309.59019687322143	True			True		
ENSMUSG00000092746	0.3587657935047881	0.0389127201625242	200.5073814102613	True			True		
