gene	rewiring
ENSMUSG00000071984	0.5257978790973181
ENSMUSG00000065701	0.474520118877953
ENSMUSG00000031710	0.44733726410470087
ENSMUSG00000007655	0.44637953944855213
ENSMUSG00000044468	0.4451194115600069
ENSMUSG00000065686	0.4434422587508604
ENSMUSG00000067288	0.4409395347374433
ENSMUSG00000000253	0.43974667495433906
ENSMUSG00000058258	0.43795113186415147
ENSMUSG00000121505	0.43247952147747026
ENSMUSG00000029641	0.43113545183600965
ENSMUSG00000101249	0.4301567076776879
ENSMUSG00000097730	0.4298621943821872
ENSMUSG00000086938	0.4191556713594623
ENSMUSG00000038843	0.41869867494053625
ENSMUSG00000071532	0.41675469738265825
ENSMUSG00000037010	0.4161253748917393
ENSMUSG00000000531	0.4151412926236916
ENSMUSG00000050359	0.4145763855323036
ENSMUSG00000023272	0.4143470409765544
ENSMUSG00000109814	0.4132535356023471
ENSMUSG00000027111	0.41250126686207655
ENSMUSG00000102302	0.41106190091810835
ENSMUSG00000101939	0.41066894057836467
ENSMUSG00000028713	0.410390699767629
ENSMUSG00000084786	0.40936917416156227
ENSMUSG00000053977	0.4089608448603186
ENSMUSG00000026822	0.4084826363440033
ENSMUSG00000053862	0.40657339551566274
ENSMUSG00000089281	0.40603381926385174
ENSMUSG00000046546	0.4015263987870351
ENSMUSG00000040950	0.396294085386089
ENSMUSG00000056328	0.39502679573761357
ENSMUSG00000106918	0.3941341847561636
ENSMUSG00000117628	0.3941253712556275
ENSMUSG00000004891	0.3939927047955559
ENSMUSG00000121042	0.3938656184827143
ENSMUSG00000022504	0.39374923483150914
ENSMUSG00000035699	0.39369674260677445
ENSMUSG00000105517	0.3933156996608652
ENSMUSG00000060131	0.39284173368369235
ENSMUSG00000097536	0.3926593983411588
ENSMUSG00000017778	0.39255168126746687
ENSMUSG00000020427	0.3923500100858478
ENSMUSG00000025082	0.3920714862216358
ENSMUSG00000112366	0.3905487724883543
ENSMUSG00000002346	0.3902909870015635
ENSMUSG00000075420	0.3887817031269887
ENSMUSG00000079419	0.3883582724554244
ENSMUSG00000042745	0.3876175404659993
ENSMUSG00000112858	0.38749517116793053
ENSMUSG00000034762	0.3874936116769421
ENSMUSG00000025144	0.3856389342815253
ENSMUSG00000039878	0.3853998851845274
ENSMUSG00000105388	0.38521852232558473
ENSMUSG00000052562	0.3850561751968744
ENSMUSG00000110136	0.3845040375803479
ENSMUSG00000071014	0.38426219278652685
ENSMUSG00000094932	0.3841508458057433
ENSMUSG00000114247	0.38266273208259394
ENSMUSG00000020027	0.3825648436531859
ENSMUSG00000100005	0.38245720149848395
ENSMUSG00000020532	0.3818885619125435
ENSMUSG00000039239	0.3817809499858277
ENSMUSG00000048040	0.3816719552779968
ENSMUSG00000029417	0.3804843620908498
ENSMUSG00000091705	0.3804576311554716
ENSMUSG00000050621	0.38036441159950074
ENSMUSG00000107722	0.3802662856979683
ENSMUSG00000029098	0.38021516346489703
ENSMUSG00000040204	0.38011304790509515
ENSMUSG00000071177	0.3790491883821069
ENSMUSG00000038393	0.3790252075481193
ENSMUSG00000119838	0.37867692440665834
ENSMUSG00000115420	0.3784807317243074
ENSMUSG00000023885	0.3784635123624198
ENSMUSG00000020889	0.3781477089597972
ENSMUSG00000104503	0.37740354263862463
ENSMUSG00000021620	0.37697500767847736
ENSMUSG00000001739	0.3765316894558438
ENSMUSG00000028655	0.376496360242102
ENSMUSG00000037440	0.37631617961938935
ENSMUSG00000004263	0.37516067865219704
ENSMUSG00000039639	0.3748937102341622
ENSMUSG00000119892	0.3734593018420487
ENSMUSG00000037887	0.3730541384869315
ENSMUSG00000033855	0.3729248723107068
ENSMUSG00000054520	0.3725753032077125
ENSMUSG00000078247	0.37249137077857997
ENSMUSG00000109555	0.37206324198443075
ENSMUSG00000058443	0.37151204681444316
ENSMUSG00000092746	0.3702598665002944
ENSMUSG00000085860	0.36985553129248006
ENSMUSG00000079480	0.3696447027112867
ENSMUSG00000038267	0.36911077126405645
ENSMUSG00000096852	0.36866352958659654
ENSMUSG00000028909	0.36778761976241203
ENSMUSG00000023043	0.367609867600146
ENSMUSG00000118837	0.3676047825855908
ENSMUSG00000001517	0.3672640352339299
ENSMUSG00000066026	0.3667030738537964
ENSMUSG00000061780	0.3666468419127502
ENSMUSG00000015962	0.36653915054873276
ENSMUSG00000020241	0.3665361410797472
ENSMUSG00000103711	0.366318148685317
ENSMUSG00000065232	0.36605232711054503
ENSMUSG00000032114	0.36582204420464104
ENSMUSG00000057137	0.3648250312657084
ENSMUSG00000037016	0.3644551690202136
ENSMUSG00000040405	0.36272260011946555
ENSMUSG00000120777	0.36264705516953655
ENSMUSG00000063316	0.36191258788884195
ENSMUSG00000059201	0.3618578012392156
ENSMUSG00000100426	0.36159129533598344
ENSMUSG00000031445	0.36152773545303984
ENSMUSG00000070803	0.3613152226003349
ENSMUSG00000037552	0.3612745722540469
ENSMUSG00000028542	0.36124243178779136
ENSMUSG00000029547	0.36093907602435094
ENSMUSG00000006154	0.360484294427141
ENSMUSG00000077709	0.3597110079140504
ENSMUSG00000026827	0.35967750016404154
ENSMUSG00000048376	0.3590486732914412
ENSMUSG00000032010	0.35904499005882584
ENSMUSG00000062619	0.35878421650372416
ENSMUSG00000109429	0.357477922142715
ENSMUSG00000112188	0.3571049356498386
ENSMUSG00000027035	0.3570815450651983
ENSMUSG00000032128	0.3568321449520716
ENSMUSG00000039062	0.3567964227989038
ENSMUSG00000118653	0.3566025365103378
ENSMUSG00002076161	0.3565278042705978
ENSMUSG00000021917	0.3555641986633761
ENSMUSG00000004151	0.35554719244392297
ENSMUSG00000032193	0.3554708809236684
ENSMUSG00000037071	0.35531415341969086
ENSMUSG00000037211	0.3551660774163967
ENSMUSG00000032175	0.35482772300693277
ENSMUSG00000086390	0.3547840653820521
ENSMUSG00000020812	0.35476977698449896
ENSMUSG00000036834	0.35476551400464196
ENSMUSG00000092805	0.3545842567626333
ENSMUSG00000064294	0.3530921076166986
ENSMUSG00000029829	0.3530332999911918
ENSMUSG00000037679	0.3529267843400745
ENSMUSG00000114432	0.3527752075650704
ENSMUSG00000037266	0.3527231687069684
ENSMUSG00000072949	0.35268852750941615
ENSMUSG00000070639	0.35262039629703146
ENSMUSG00000065778	0.3520026291576709
ENSMUSG00000010651	0.35196025305138656
ENSMUSG00000121375	0.3516087308813445
ENSMUSG00000098934	0.35110764599220257
ENSMUSG00000074578	0.3508483212376714
ENSMUSG00000046743	0.35076968143512954
ENSMUSG00000029561	0.35064874409887525
ENSMUSG00000068037	0.35063676929581555
ENSMUSG00000017716	0.3504547545886678
ENSMUSG00000062901	0.3503515182632021
ENSMUSG00000024620	0.34956067567709903
ENSMUSG00000039911	0.34883432372496237
ENSMUSG00000073616	0.3487477582646099
ENSMUSG00000103899	0.3487350745719314
ENSMUSG00000041895	0.3487168271078115
ENSMUSG00000015568	0.3480236397255181
ENSMUSG00000071847	0.34797947932322526
ENSMUSG00000060678	0.347870158129854
ENSMUSG00000114104	0.34751580264224213
ENSMUSG00000063171	0.34747663684714836
ENSMUSG00000061742	0.34680851281754665
ENSMUSG00000039109	0.3467282591363896
ENSMUSG00000074896	0.34646632798534716
ENSMUSG00000006542	0.3464215148515656
ENSMUSG00000038624	0.34634612215533167
ENSMUSG00000034258	0.3461776601664196
ENSMUSG00000064994	0.34566620778730106
ENSMUSG00000022679	0.3456254021097004
ENSMUSG00000020142	0.3455530644298902
ENSMUSG00000045725	0.345445595480948
ENSMUSG00000112478	0.34543141586957593
ENSMUSG00000092837	0.34497840105296607
ENSMUSG00000013584	0.3449524226702957
ENSMUSG00000055333	0.34490138611450816
ENSMUSG00000065653	0.34456403336299224
ENSMUSG00000067235	0.3444912726105692
ENSMUSG00000023004	0.3444772307347128
ENSMUSG00000056501	0.3443953264121685
ENSMUSG00000030513	0.34428230683161454
ENSMUSG00000110234	0.3440978034421136
ENSMUSG00000028463	0.343948050728625
ENSMUSG00000102594	0.3439155003988641
ENSMUSG00000048572	0.3433977270877989
ENSMUSG00000065725	0.3432563620450161
ENSMUSG00000079435	0.3430651948123712
ENSMUSG00000054640	0.3429593324942115
ENSMUSG00000097583	0.3426719234743051
ENSMUSG00000047501	0.34265985267112253
ENSMUSG00000060860	0.34175893927643564
ENSMUSG00000104737	0.34120811451440014
ENSMUSG00000031748	0.34115049537849684
ENSMUSG00000026185	0.34114678219015304
ENSMUSG00000057841	0.3410071562508632
ENSMUSG00000020654	0.34091293185334626
ENSMUSG00000027359	0.3408724624080577
ENSMUSG00000005220	0.34046387431463043
ENSMUSG00000034593	0.33889626200685996
ENSMUSG00000090553	0.33818015420625447
ENSMUSG00000110928	0.3380868356567819
ENSMUSG00000085385	0.3377338835850672
ENSMUSG00000118669	0.3376044499521742
ENSMUSG00000027820	0.33737382474588784
ENSMUSG00000031016	0.3371010276011073
ENSMUSG00000024925	0.33693027652522545
ENSMUSG00000025321	0.33689318313784045
ENSMUSG00000025934	0.33682871246408386
ENSMUSG00000038587	0.33614372634154477
ENSMUSG00000019894	0.33561057927034577
ENSMUSG00000045092	0.33550559902747257
ENSMUSG00000045515	0.3351022459521489
ENSMUSG00000016763	0.33505495028874377
ENSMUSG00000037152	0.33494707082998776
ENSMUSG00000032080	0.33492703447266925
ENSMUSG00000090486	0.33484485314606605
ENSMUSG00000085396	0.33480672351627516
ENSMUSG00000067279	0.3346683509674949
ENSMUSG00000024064	0.3345723593840102
ENSMUSG00000027133	0.334467028483432
ENSMUSG00000037474	0.33439579952691023
ENSMUSG00000064337	0.33410068493090295
ENSMUSG00000036398	0.33395435487463543
ENSMUSG00000096727	0.3338183809013905
ENSMUSG00000034875	0.3337106624891941
ENSMUSG00000028001	0.33370384238498085
ENSMUSG00000052387	0.33360761880113743
ENSMUSG00000029321	0.3335427812054593
ENSMUSG00000090077	0.3332619071024161
ENSMUSG00000029657	0.3332158189537371
ENSMUSG00000035459	0.3331825843785874
ENSMUSG00000074261	0.33285789906628727
ENSMUSG00000072664	0.33265215653106217
ENSMUSG00000024757	0.3321453072110082
ENSMUSG00000000682	0.3319589331555012
ENSMUSG00000028150	0.33194213828270813
ENSMUSG00000080440	0.33138537460932227
ENSMUSG00000086290	0.33128091284143235
ENSMUSG00000114860	0.3311481838428829
ENSMUSG00000041841	0.33076790756779206
ENSMUSG00000067870	0.33063730657660095
ENSMUSG00000041559	0.3300884707300892
ENSMUSG00000041372	0.33005231462285056
ENSMUSG00000047638	0.32997787703876813
ENSMUSG00000034566	0.32985207651551696
ENSMUSG00000031119	0.3297246267726668
ENSMUSG00000100210	0.32953741973407824
ENSMUSG00000028036	0.3294896812185374
ENSMUSG00000064220	0.3294822762629135
ENSMUSG00000055805	0.32946903891030677
ENSMUSG00000027322	0.3291553003747618
ENSMUSG00000044819	0.32908487386810337
ENSMUSG00000064966	0.3289570556325856
ENSMUSG00000074218	0.32858339539414305
ENSMUSG00000119986	0.32852100516792815
ENSMUSG00000042851	0.32832957645653493
ENSMUSG00000103089	0.32809315122217253
ENSMUSG00000070661	0.32800590941771646
ENSMUSG00000070348	0.3278160809569157
ENSMUSG00002076650	0.3275342333208672
ENSMUSG00000103220	0.32751004602779943
ENSMUSG00000115161	0.32732255255781073
ENSMUSG00000098318	0.327235373847919
ENSMUSG00000099241	0.32718805840134835
ENSMUSG00000028998	0.3269530077134887
ENSMUSG00000028834	0.3269425703669223
ENSMUSG00000018211	0.32673764053923104
ENSMUSG00000026930	0.3264851237977374
ENSMUSG00000024393	0.3262195790636333
ENSMUSG00000037035	0.326184460142227
ENSMUSG00000071337	0.32617624023649894
ENSMUSG00000001436	0.32607265262429097
ENSMUSG00000058600	0.32605556031892924
ENSMUSG00000040473	0.3257604087916237
ENSMUSG00000075232	0.32569940270667874
ENSMUSG00000027676	0.3253539624738083
ENSMUSG00000022805	0.3253046824671284
ENSMUSG00000102401	0.3251879744737154
ENSMUSG00000026207	0.32480710172313687
ENSMUSG00000029231	0.324749149301797
ENSMUSG00000039196	0.32470571354876643
ENSMUSG00000058624	0.3246156647070604
ENSMUSG00000038690	0.3245437634826378
ENSMUSG00000037254	0.3241814817213705
ENSMUSG00000028862	0.32390158293675897
ENSMUSG00000001270	0.32377744605967773
ENSMUSG00000121213	0.3235986019955487
ENSMUSG00000087042	0.32308880434810416
ENSMUSG00000018830	0.3228206511246622
ENSMUSG00000115190	0.32261846451277554
ENSMUSG00000111605	0.3223905366106925
ENSMUSG00000004988	0.3215420260483107
ENSMUSG00000111692	0.32138013303250434
ENSMUSG00000103085	0.3212023635055151
ENSMUSG00000021520	0.32102223565048016
ENSMUSG00000119895	0.320960800579541
ENSMUSG00000010044	0.320828346115104
ENSMUSG00000028553	0.320766791021185
ENSMUSG00000075267	0.3207229279550847
ENSMUSG00000062825	0.3206614188523871
ENSMUSG00000038738	0.3206478341338129
ENSMUSG00000056755	0.32064421921637587
ENSMUSG00000119262	0.32057069224037393
ENSMUSG00000033910	0.32056951684515844
ENSMUSG00000006576	0.32028872834877775
ENSMUSG00000031919	0.3201233754837093
ENSMUSG00000030222	0.320089234863992
ENSMUSG00000034311	0.31970036922170064
ENSMUSG00000061100	0.31949354829773946
ENSMUSG00000031278	0.3194456425824401
ENSMUSG00000057933	0.3193766827486899
ENSMUSG00000042541	0.3189348233160222
ENSMUSG00000109941	0.3186882411087779
ENSMUSG00000031661	0.3185194917165015
ENSMUSG00000111497	0.3184306890859556
ENSMUSG00000067656	0.31838100511980294
ENSMUSG00000055022	0.31829616375699454
ENSMUSG00000069310	0.3182862728939774
ENSMUSG00000015944	0.31824233810299485
ENSMUSG00000049152	0.3179210635589259
ENSMUSG00000028982	0.3178143347298237
ENSMUSG00000024737	0.31772866406633415
ENSMUSG00000105186	0.31765059557773956
ENSMUSG00000036565	0.31748841490867685
ENSMUSG00000033170	0.3167562471448523
ENSMUSG00000106951	0.3166945525411592
ENSMUSG00000070720	0.3166735503074616
ENSMUSG00000038717	0.31652836957696184
ENSMUSG00000058492	0.3164148041388093
ENSMUSG00000077222	0.31608870343907003
ENSMUSG00000052698	0.31595709406590766
ENSMUSG00000036083	0.3159100679689708
ENSMUSG00000011008	0.3156133651640075
ENSMUSG00000061175	0.31520537143081295
ENSMUSG00000070427	0.3151232897713351
ENSMUSG00000031762	0.31510887425994505
ENSMUSG00000019738	0.3150696551324126
ENSMUSG00000023868	0.31503845219182136
ENSMUSG00000032350	0.3150120983524337
ENSMUSG00000108414	0.3149028354333542
ENSMUSG00000056749	0.3148706461175018
ENSMUSG00000028763	0.3148471649379361
ENSMUSG00000059213	0.31469903351323614
ENSMUSG00000028527	0.3144955557708671
ENSMUSG00000027360	0.31438364617143477
ENSMUSG00000061353	0.3143511328277937
ENSMUSG00000055148	0.31416141797110286
ENSMUSG00000020175	0.3140996532235374
ENSMUSG00000040093	0.3140391591532059
ENSMUSG00000006445	0.3139842886318255
ENSMUSG00000030562	0.31378075206407974
ENSMUSG00000037725	0.31367390272571316
ENSMUSG00000107068	0.31356413046321885
ENSMUSG00000100992	0.31342342721378735
ENSMUSG00000095041	0.3133668565477963
ENSMUSG00000029193	0.3132223692453955
ENSMUSG00000037098	0.31320546885429323
ENSMUSG00000023089	0.3131324527690684
ENSMUSG00000034459	0.3129375683425364
ENSMUSG00000001773	0.31284790188285927
ENSMUSG00000031389	0.3128058636523384
ENSMUSG00000031283	0.31265101723092037
ENSMUSG00000061740	0.31262230059627527
ENSMUSG00000026042	0.3124809947104962
ENSMUSG00000091898	0.3121572890584027
ENSMUSG00000026435	0.31201761423590135
ENSMUSG00000040111	0.3119365760068715
ENSMUSG00000070645	0.3117478905768041
ENSMUSG00002076451	0.3116999667372585
ENSMUSG00000018362	0.311692219044327
ENSMUSG00000032758	0.3115275612122477
ENSMUSG00000060093	0.31151598827909943
ENSMUSG00000060802	0.3113284911288058
ENSMUSG00000040732	0.3113213096417452
ENSMUSG00000118671	0.3112319070238527
ENSMUSG00000121129	0.31104993986106355
ENSMUSG00000027513	0.3110465146924084
ENSMUSG00000034911	0.3109514656944218
ENSMUSG00000010064	0.3108829325221163
ENSMUSG00000096010	0.3105633960013475
ENSMUSG00000062661	0.31032483443535785
ENSMUSG00000061718	0.3102917970015958
ENSMUSG00000056737	0.31019973338350115
ENSMUSG00000057722	0.3096250887281249
ENSMUSG00000078350	0.3095760845451907
ENSMUSG00000097194	0.30956744465863373
ENSMUSG00000039016	0.3095422831321678
ENSMUSG00000078896	0.30947254186412654
