rank	gene	degree
200	ENSMUSG00000037411	167
201	ENSMUSG00000025577	166
202	ENSMUSG00000070576	166
203	ENSMUSG00000070469	166
204	ENSMUSG00000022330	166
205	ENSMUSG00000020839	166
206	ENSMUSG00000053852	166
207	ENSMUSG00000028571	165
208	ENSMUSG00000030786	165
209	ENSMUSG00000069307	164
210	ENSMUSG00000034785	164
211	ENSMUSG00000025608	164
212	ENSMUSG00000031734	164
213	ENSMUSG00000072944	164
214	ENSMUSG00000032327	163
215	ENSMUSG00000019929	163
216	ENSMUSG00000060550	163
217	ENSMUSG00000020053	163
218	ENSMUSG00000024803	163
219	ENSMUSG00000020806	163
220	ENSMUSG00000095595	163
221	ENSMUSG00000047379	163
222	ENSMUSG00000120569	163
223	ENSMUSG00000035692	163
224	ENSMUSG00000031877	162
225	ENSMUSG00000053560	162
226	ENSMUSG00000040564	162
227	ENSMUSG00000026249	162
228	ENSMUSG00000023247	161
229	ENSMUSG00000005268	161
230	ENSMUSG00000039193	161
231	ENSMUSG00000062151	160
232	ENSMUSG00000021765	160
233	ENSMUSG00000051747	160
234	ENSMUSG00000042499	160
235	ENSMUSG00000052160	159
236	ENSMUSG00000019577	159
237	ENSMUSG00000041974	158
238	ENSMUSG00000054757	158
239	ENSMUSG00000023885	158
240	ENSMUSG00000054999	158
241	ENSMUSG00000034936	157
242	ENSMUSG00000074653	157
243	ENSMUSG00000020641	157
244	ENSMUSG00000032532	157
245	ENSMUSG00000035671	156
246	ENSMUSG00000020866	156
247	ENSMUSG00000037071	156
248	ENSMUSG00000048373	155
249	ENSMUSG00000043621	155
250	ENSMUSG00000032589	155
251	ENSMUSG00000020423	154
252	ENSMUSG00000027360	154
253	ENSMUSG00000030994	154
254	ENSMUSG00000038894	154
255	ENSMUSG00000033849	154
256	ENSMUSG00000045573	154
257	ENSMUSG00000053063	154
258	ENSMUSG00000000552	153
259	ENSMUSG00000021144	152
260	ENSMUSG00000015745	152
261	ENSMUSG00000078612	152
262	ENSMUSG00000049577	152
263	ENSMUSG00000027796	152
264	ENSMUSG00000032083	152
265	ENSMUSG00000018845	152
266	ENSMUSG00000022602	152
267	ENSMUSG00000064358	152
268	ENSMUSG00000048583	152
269	ENSMUSG00000047407	151
270	ENSMUSG00000033880	151
271	ENSMUSG00000038007	151
272	ENSMUSG00000066640	151
273	ENSMUSG00000017002	151
274	ENSMUSG00000070348	151
275	ENSMUSG00000015981	150
276	ENSMUSG00000027004	150
277	ENSMUSG00000046733	150
278	ENSMUSG00000002020	150
279	ENSMUSG00000022215	149
280	ENSMUSG00000067235	149
281	ENSMUSG00000040552	149
282	ENSMUSG00000074896	148
283	ENSMUSG00000028480	148
284	ENSMUSG00000023886	148
285	ENSMUSG00000064120	148
286	ENSMUSG00000026602	148
287	ENSMUSG00000066842	147
288	ENSMUSG00000024486	147
289	ENSMUSG00000058488	147
290	ENSMUSG00000065947	146
291	ENSMUSG00000064294	146
292	ENSMUSG00000072949	146
293	ENSMUSG00000022797	146
294	ENSMUSG00000024672	146
295	ENSMUSG00000068037	146
296	ENSMUSG00000039110	146
297	ENSMUSG00000027078	146
298	ENSMUSG00000051811	146
299	ENSMUSG00000044468	145
300	ENSMUSG00000031253	145
301	ENSMUSG00000029811	145
302	ENSMUSG00000020793	145
303	ENSMUSG00000019894	145
304	ENSMUSG00000028222	145
305	ENSMUSG00000000093	145
306	ENSMUSG00000003849	145
307	ENSMUSG00000045725	145
308	ENSMUSG00000054520	144
309	ENSMUSG00000027762	144
310	ENSMUSG00000026825	144
311	ENSMUSG00000025498	144
312	ENSMUSG00000054555	144
313	ENSMUSG00000051483	143
314	ENSMUSG00000026773	143
315	ENSMUSG00000022508	143
316	ENSMUSG00000051149	143
317	ENSMUSG00000029581	143
318	ENSMUSG00000046699	143
319	ENSMUSG00000056973	143
320	ENSMUSG00000109941	143
321	ENSMUSG00000090113	143
322	ENSMUSG00000020381	143
323	ENSMUSG00000028919	143
324	ENSMUSG00000020598	143
325	ENSMUSG00000026042	143
326	ENSMUSG00000038641	142
327	ENSMUSG00000105842	142
328	ENSMUSG00000050103	142
329	ENSMUSG00000053877	142
330	ENSMUSG00000017677	142
331	ENSMUSG00000046546	142
332	ENSMUSG00000029553	142
333	ENSMUSG00000032332	142
334	ENSMUSG00000116207	141
335	ENSMUSG00000026077	141
336	ENSMUSG00000096401	141
337	ENSMUSG00000021135	141
338	ENSMUSG00000055435	141
339	ENSMUSG00000035699	141
340	ENSMUSG00000046694	141
341	ENSMUSG00000035504	141
342	ENSMUSG00000035299	140
343	ENSMUSG00000034762	140
344	ENSMUSG00000000567	140
345	ENSMUSG00000022951	140
346	ENSMUSG00000074768	140
347	ENSMUSG00000074264	140
348	ENSMUSG00000013584	140
349	ENSMUSG00000021509	140
350	ENSMUSG00000051457	140
351	ENSMUSG00000024391	139
352	ENSMUSG00000064360	139
353	ENSMUSG00000046159	139
354	ENSMUSG00000068699	139
355	ENSMUSG00000045775	139
356	ENSMUSG00000028337	138
357	ENSMUSG00000048930	138
358	ENSMUSG00000028076	138
359	ENSMUSG00000034739	138
360	ENSMUSG00000015484	138
361	ENSMUSG00000042684	138
362	ENSMUSG00000000184	138
363	ENSMUSG00000050953	138
364	ENSMUSG00000019768	138
365	ENSMUSG00000038058	138
366	ENSMUSG00000027995	137
367	ENSMUSG00000039542	137
368	ENSMUSG00000024795	137
369	ENSMUSG00000108521	137
370	ENSMUSG00000091705	137
371	ENSMUSG00000059213	137
372	ENSMUSG00000022665	137
373	ENSMUSG00000044258	137
374	ENSMUSG00000025481	136
375	ENSMUSG00000052837	136
376	ENSMUSG00000032487	136
377	ENSMUSG00000034855	136
378	ENSMUSG00000038418	136
379	ENSMUSG00000030701	136
380	ENSMUSG00000000142	136
381	ENSMUSG00000016942	136
382	ENSMUSG00000034614	135
383	ENSMUSG00000029373	135
384	ENSMUSG00000090115	135
385	ENSMUSG00000051262	135
386	ENSMUSG00000062991	135
387	ENSMUSG00000018459	135
388	ENSMUSG00000074151	135
389	ENSMUSG00000029177	135
390	ENSMUSG00000055745	135
391	ENSMUSG00000027750	134
392	ENSMUSG00000058740	134
393	ENSMUSG00000055632	134
394	ENSMUSG00000031594	134
395	ENSMUSG00000010651	134
396	ENSMUSG00000022579	134
397	ENSMUSG00000018427	134
398	ENSMUSG00000039989	133
399	ENSMUSG00000025188	133
400	ENSMUSG00000035539	133
401	ENSMUSG00000021186	133
402	ENSMUSG00000030249	133
403	ENSMUSG00000045932	133
404	ENSMUSG00000024613	133
405	ENSMUSG00000025889	133
406	ENSMUSG00000020644	133
407	ENSMUSG00000006219	133
408	ENSMUSG00000055707	132
409	ENSMUSG00000051727	132
410	ENSMUSG00000102805	132
411	ENSMUSG00000036882	132
412	ENSMUSG00000001520	132
413	ENSMUSG00000033871	132
414	ENSMUSG00000026360	132
415	ENSMUSG00000056328	132
416	ENSMUSG00000050010	131
417	ENSMUSG00000037157	131
418	ENSMUSG00000031790	131
419	ENSMUSG00000015568	131
420	ENSMUSG00000000149	131
421	ENSMUSG00000028527	131
422	ENSMUSG00000033633	131
423	ENSMUSG00000029700	131
424	ENSMUSG00000022438	131
425	ENSMUSG00000048482	131
426	ENSMUSG00000039004	131
427	ENSMUSG00000062410	130
428	ENSMUSG00000063177	130
429	ENSMUSG00000005716	130
430	ENSMUSG00000020483	130
431	ENSMUSG00000020143	130
432	ENSMUSG00000012187	130
433	ENSMUSG00000029260	130
434	ENSMUSG00000024011	130
435	ENSMUSG00000064325	130
436	ENSMUSG00000090077	130
437	ENSMUSG00000087141	130
438	ENSMUSG00000079710	130
439	ENSMUSG00000023353	130
440	ENSMUSG00000026313	129
441	ENSMUSG00000040694	129
442	ENSMUSG00000105293	129
443	ENSMUSG00000063011	129
444	ENSMUSG00000022445	129
445	ENSMUSG00000025225	129
446	ENSMUSG00000017309	129
447	ENSMUSG00000040584	129
448	ENSMUSG00000081058	129
449	ENSMUSG00000042766	129
450	ENSMUSG00000035621	128
451	ENSMUSG00000040258	128
452	ENSMUSG00000015950	128
453	ENSMUSG00000042377	128
454	ENSMUSG00000064080	128
455	ENSMUSG00000037563	128
456	ENSMUSG00000020651	128
457	ENSMUSG00000074183	128
458	ENSMUSG00000005640	128
459	ENSMUSG00000064356	128
460	ENSMUSG00000047021	128
461	ENSMUSG00000017146	128
