contrast	n_genes	n_significant_q05	n_significant_q01	median_pvalue
ISS_T_OLD_FLT_minus_GC	2500	0	0	0.5989505247376312
LAR_YNG_FLT_minus_GC	2500	0	0	0.5712143928035982
ISS_T_YNG_FLT_minus_GC	2500	0	0	0.5232383808095952
LAR_OLD_FLT_minus_GC	2500	0	0	0.6074462768615693
