contrast	n_genes	n_seeds	mean_rewiring	median_rank_std	top_gene	top_rewiring
ISS_T_YNG_FLT_minus_GC	2500	10	0.24904841624965052	205.87715086182942	ENSMUSG00000044477	0.5535556159174366
ISS_T_OLD_FLT_minus_GC	2500	10	0.24606976497158253	202.7397191212569	ENSMUSG00000049241	0.47218350103612394
LAR_YNG_FLT_minus_GC	2500	10	0.23624609408617445	204.69578615496127	ENSMUSG00000032997	0.4852537626343235
LAR_OLD_FLT_minus_GC	2500	10	0.24914383626054964	197.5555470280096	ENSMUSG00000075031	0.49814830598228443
