gene	rewiring
ENSMUSG00000049511	0.5673211623808478
ENSMUSG00000118125	0.5471825613710312
ENSMUSG00000059325	0.5309187073327394
ENSMUSG00000004105	0.5168327924232852
ENSMUSG00000034591	0.5067428877283033
ENSMUSG00000102782	0.4983880485165715
ENSMUSG00000020048	0.4883379270072228
ENSMUSG00000074754	0.48386388953252113
ENSMUSG00000051319	0.4832033626417509
ENSMUSG00000005611	0.4828330605488529
ENSMUSG00000120543	0.468912057494679
ENSMUSG00000075031	0.46773913565579683
ENSMUSG00000067455	0.46577829585819763
ENSMUSG00000081745	0.4649361468349432
ENSMUSG00000028444	0.46217392236870936
ENSMUSG00000050428	0.4598834725292973
ENSMUSG00000024313	0.4585281127574776
ENSMUSG00000027870	0.45799989086020276
ENSMUSG00000024747	0.4559219296000977
ENSMUSG00000040943	0.4557190867926191
ENSMUSG00000027962	0.4549020045781016
ENSMUSG00000026395	0.4515826545765179
ENSMUSG00000020898	0.45041000312541213
ENSMUSG00000029119	0.4500918544439837
ENSMUSG00000027111	0.44980817792403904
ENSMUSG00000067288	0.44726664921822734
ENSMUSG00000052407	0.4465991977339566
ENSMUSG00000112188	0.44308816014274455
ENSMUSG00000061825	0.44223059899373196
ENSMUSG00000107000	0.4418904957470411
ENSMUSG00000021290	0.4390996461286537
ENSMUSG00000078880	0.4384601411823885
ENSMUSG00000026930	0.4381120102354483
ENSMUSG00000026193	0.43796039413960464
ENSMUSG00000064370	0.4375005401503682
ENSMUSG00000045374	0.43735598507700124
ENSMUSG00000027559	0.4358756975964755
ENSMUSG00000040356	0.4357782643567767
ENSMUSG00000115420	0.43565011042871393
ENSMUSG00000019577	0.4320219495606187
ENSMUSG00000029752	0.43134997259405305
ENSMUSG00000060548	0.43098150034125604
ENSMUSG00000063796	0.42848003980908134
ENSMUSG00000026988	0.42810362498542665
ENSMUSG00000051149	0.42752543568171775
ENSMUSG00000002831	0.426434813714589
ENSMUSG00000032997	0.4258283106005353
ENSMUSG00000068587	0.4250548663923682
ENSMUSG00000030109	0.4245983446939857
ENSMUSG00000028158	0.42312703146952824
ENSMUSG00000018697	0.42303727229408183
ENSMUSG00000073530	0.4224640985598649
ENSMUSG00000103089	0.4215246832643367
ENSMUSG00000028358	0.42093202482763636
ENSMUSG00000027907	0.4185863574614176
ENSMUSG00000026365	0.41791060399418356
ENSMUSG00000042453	0.4173378346780301
ENSMUSG00002076696	0.4170400455998936
ENSMUSG00000063434	0.41702470289985016
ENSMUSG00000061887	0.4161040377165459
ENSMUSG00000037016	0.41604557784223606
ENSMUSG00000017688	0.4150956843682504
ENSMUSG00000034205	0.4148074605085078
ENSMUSG00000093674	0.4135939682449863
ENSMUSG00000059070	0.413470708722817
ENSMUSG00000023886	0.4128408263908334
ENSMUSG00000028470	0.41252218273447316
ENSMUSG00000064351	0.4110519368963106
ENSMUSG00000039463	0.4106378921644094
ENSMUSG00000039623	0.410547831881081
ENSMUSG00000029830	0.40992616140450044
ENSMUSG00000033819	0.40956621594080855
ENSMUSG00000065649	0.40862600775443403
ENSMUSG00000014791	0.4079422638548863
ENSMUSG00000116908	0.40744182973637044
ENSMUSG00000027245	0.4068624802328997
ENSMUSG00000013236	0.4068021141838125
ENSMUSG00000040952	0.40664540808606797
ENSMUSG00000074406	0.40655462436736556
ENSMUSG00000037887	0.4059358808009087
ENSMUSG00000108521	0.40528512138939976
ENSMUSG00000030037	0.40434682953763257
ENSMUSG00000028407	0.4042563754190206
ENSMUSG00000034785	0.40414293032361026
ENSMUSG00000074445	0.40410859372000296
ENSMUSG00000033326	0.40404031122239725
ENSMUSG00000026840	0.4033151762525683
ENSMUSG00000102145	0.4026402242038032
ENSMUSG00000096401	0.4024832592731249
ENSMUSG00000064339	0.40198810646969596
ENSMUSG00000034171	0.4018545561323963
ENSMUSG00000103857	0.4014538283732558
ENSMUSG00000024411	0.40120542768032363
ENSMUSG00000120997	0.40073260900400187
ENSMUSG00000026602	0.3991695771355569
ENSMUSG00000023120	0.3987938300505458
ENSMUSG00000111923	0.3982719370208534
ENSMUSG00000022508	0.39787908689546725
ENSMUSG00000114456	0.3977865299353476
ENSMUSG00000069008	0.3971115396892251
ENSMUSG00000031278	0.39667622683071624
ENSMUSG00000110894	0.3960807913219344
ENSMUSG00000019326	0.3945828157195239
