contrast	n_genes	n_significant_q05	n_significant_q01	median_pvalue
ISS_T_OLD_FLT_minus_GC	2500	52	0	0.356071964017991
LAR_YNG_FLT_minus_GC	2500	0	0	0.6096951524237881
ISS_T_YNG_FLT_minus_GC	2500	0	0	0.3473263368315842
LAR_OLD_FLT_minus_GC	2500	0	0	0.5454772613693153
