gene	symbol	rewiring_abs_obs	p_perm	q_BH
ENSMUSG00000036781	ENSMUSG00000036781	61.929532051086426	0.0004997501249375	0.0240264483143043
ENSMUSG00000023089	ENSMUSG00000023089	72.45040157437325	0.0004997501249375	0.0240264483143043
ENSMUSG00000105954	ENSMUSG00000105954	174.5952052846551	0.0004997501249375	0.0240264483143043
ENSMUSG00000028681	ENSMUSG00000028681	41.03712095320225	0.0004997501249375	0.0240264483143043
ENSMUSG00000020431	ENSMUSG00000020431	100.14329128712416	0.0004997501249375	0.0240264483143043
ENSMUSG00000030004	ENSMUSG00000030004	62.01937202177942	0.0004997501249375	0.0240264483143043
ENSMUSG00000049152	ENSMUSG00000049152	50.57277090102434	0.0004997501249375	0.0240264483143043
ENSMUSG00000021822	ENSMUSG00000021822	52.15129983052611	0.0004997501249375	0.0240264483143043
ENSMUSG00000027870	ENSMUSG00000027870	57.81847866624594	0.0004997501249375	0.0240264483143043
ENSMUSG00000029673	ENSMUSG00000029673	69.7806861102581	0.0004997501249375	0.0240264483143043
ENSMUSG00000007655	ENSMUSG00000007655	44.15609093755484	0.0004997501249375	0.0240264483143043
ENSMUSG00000028648	ENSMUSG00000028648	86.15761724114418	0.0004997501249375	0.0240264483143043
ENSMUSG00000005107	ENSMUSG00000005107	106.6399093195796	0.0004997501249375	0.0240264483143043
ENSMUSG00000040904	ENSMUSG00000040904	88.04802845418453	0.0004997501249375	0.0240264483143043
ENSMUSG00000038418	ENSMUSG00000038418	111.7402678951621	0.0004997501249375	0.0240264483143043
ENSMUSG00000025290	ENSMUSG00000025290	69.8089017868042	0.0004997501249375	0.0240264483143043
ENSMUSG00000054091	ENSMUSG00000054091	84.36112524569035	0.0004997501249375	0.0240264483143043
ENSMUSG00000040016	ENSMUSG00000040016	88.83581894636154	0.0004997501249375	0.0240264483143043
ENSMUSG00000025422	ENSMUSG00000025422	38.16694434732199	0.0004997501249375	0.0240264483143043
ENSMUSG00000030579	ENSMUSG00000030579	60.22818162292242	0.0004997501249375	0.0240264483143043
ENSMUSG00000061983	ENSMUSG00000061983	73.1885025203228	0.0004997501249375	0.0240264483143043
ENSMUSG00000079262	ENSMUSG00000079262	97.41768976300956	0.0004997501249375	0.0240264483143043
ENSMUSG00000038642	ENSMUSG00000038642	81.63681221753359	0.0004997501249375	0.0240264483143043
ENSMUSG00000059042	ENSMUSG00000059042	87.43562668561935	0.0004997501249375	0.0240264483143043
ENSMUSG00000039395	ENSMUSG00000039395	116.67377046495676	0.0004997501249375	0.0240264483143043
ENSMUSG00000074129	ENSMUSG00000074129	54.726044330745935	0.0004997501249375	0.0240264483143043
ENSMUSG00000040557	ENSMUSG00000040557	52.63551829010248	0.0004997501249375	0.0240264483143043
ENSMUSG00000063903	ENSMUSG00000063903	69.29037723690271	0.0004997501249375	0.0240264483143043
ENSMUSG00000028664	ENSMUSG00000028664	74.00890516489744	0.0004997501249375	0.0240264483143043
ENSMUSG00000078247	ENSMUSG00000078247	57.77551762014628	0.0004997501249375	0.0240264483143043
ENSMUSG00000050608	ENSMUSG00000050608	99.78907030820848	0.0004997501249375	0.0240264483143043
ENSMUSG00000032946	ENSMUSG00000032946	44.98156771808863	0.0004997501249375	0.0240264483143043
ENSMUSG00000079480	ENSMUSG00000079480	101.26683305203916	0.0004997501249375	0.0240264483143043
ENSMUSG00000027796	ENSMUSG00000027796	192.4638851583004	0.0004997501249375	0.0240264483143043
ENSMUSG00000120776	ENSMUSG00000120776	75.63781000301242	0.0004997501249375	0.0240264483143043
ENSMUSG00000090258	ENSMUSG00000090258	61.55137032270432	0.0004997501249375	0.0240264483143043
ENSMUSG00000100967	ENSMUSG00000100967	69.36159022897482	0.0004997501249375	0.0240264483143043
ENSMUSG00000050552	ENSMUSG00000050552	55.2308391854167	0.0004997501249375	0.0240264483143043
ENSMUSG00000121184	ENSMUSG00000121184	71.68297775089741	0.0004997501249375	0.0240264483143043
ENSMUSG00000100426	ENSMUSG00000100426	101.51675649732351	0.0004997501249375	0.0240264483143043
ENSMUSG00000026657	ENSMUSG00000026657	164.4674397855997	0.0004997501249375	0.0240264483143043
ENSMUSG00000102573	ENSMUSG00000102573	87.9437199011445	0.0004997501249375	0.0240264483143043
ENSMUSG00000097383	ENSMUSG00000097383	58.19942907430232	0.0004997501249375	0.0240264483143043
ENSMUSG00000003526	ENSMUSG00000003526	55.19207485765219	0.0004997501249375	0.0240264483143043
ENSMUSG00000039607	ENSMUSG00000039607	58.98797705024481	0.0004997501249375	0.0240264483143043
ENSMUSG00000006641	ENSMUSG00000006641	83.69625303149223	0.0004997501249375	0.0240264483143043
ENSMUSG00000043822	ENSMUSG00000043822	74.853496003896	0.0004997501249375	0.0240264483143043
ENSMUSG00000005268	ENSMUSG00000005268	109.62973268702626	0.0004997501249375	0.0240264483143043
ENSMUSG00000028444	ENSMUSG00000028444	85.0752358213067	0.0004997501249375	0.0240264483143043
ENSMUSG00000108599	ENSMUSG00000108599	52.30844683200121	0.0004997501249375	0.0240264483143043
ENSMUSG00000032330	ENSMUSG00000032330	59.74262297153473	0.0004997501249375	0.0240264483143043
ENSMUSG00000074768	ENSMUSG00000074768	204.86123709008095	0.0004997501249375	0.0240264483143043
