cell_type	prop_column	n_markers	markers	pearson_r	pearson_p	spearman_rho
PT	PT	3	Lrp2,Cubn,Slc5a12	0.7198399789475188	5.3116073163631e-14	0.7273089545241445
TAL_LOH	TAL_LOH	2	Slc12a1,Umod	0.2068814231095757	0.06558417494489248	0.176558837318331
DCT	DCT	3	Slc12a3,Pvalb,Calb1	0.258417191208687	0.020643709478660177	0.24418659165494608
CD	CD	2	Aqp2,Aqp3	0.1589500171452864	0.15904589910209693	0.03394280356305673
Endothelial	Endothelial	1	Pecam1	-0.1914146338080573	0.08896450698821945	0.10300046882325363
Fibroblast	Fibroblast	3	Col1a1,Col3a1,Pdgfra	0.5798489749816473	1.7372628405361467e-08	0.5802859821847164
