	count	mean	std	min	25%	50%	75%	max
Glomerular	80.0	0.09613906835761887	0.05578044617393114	0.0333340718339896	0.057615117889482426	0.080259970227614	0.10669679342874075	0.283966022529848
Tubule	80.0	0.8787665886488801	0.053483710384415996	0.707804374253069	0.8538069467150355	0.8908087257440704	0.9204792147165852	0.955754895073938
Immune	80.0	0.0018456234270399399	0.0032876013857252835	0.0	0.00015124310929969946	0.00120368219895665	0.00213131402452575	0.0235130368606637
Stroma	80.0	0.023248719566460976	0.012728552550450002	0.0032270382810855	0.013324457352356775	0.022258416359437802	0.0319013848673494	0.0604123727246653
