contrast	n_genes	n_significant_q05	n_significant_q01	median_pvalue
ISS_T_OLD_FLT_minus_GC	2500	26	0	0.42553723138430777
LAR_YNG_FLT_minus_GC	2500	0	0	0.5474762618690655
ISS_T_YNG_FLT_minus_GC	2500	51	0	0.33958020989505244
LAR_OLD_FLT_minus_GC	2500	0	0	0.4552723638180909
